"window","uni","multi","mae","nmae"
"incremental","lm","lm","531.93","6.6"
"incremental","lm","mlpe","557.7","6.92"
"incremental","lm","naive","565.37","7.02"
"incremental","lm","ctree","517.81","6.43"
"incremental","lm","mlp","623.52","7.74"
"incremental","lm","randomForest","549.36","6.82"
"incremental","lm","mr","531.93","6.6"
"incremental","lm","rvm","609.77","7.57"
"incremental","lm","ksvm","494.84","6.14"
"incremental","mlpe","lm","748.73","9.29"
"incremental","mlpe","mlpe","768.47","9.54"
"incremental","mlpe","naive","565.37","7.02"
"incremental","mlpe","ctree","814.08","10.11"
"incremental","mlpe","mlp","867.76","10.77"
"incremental","mlpe","randomForest","572.79","7.11"
"incremental","mlpe","mr","849.45","10.54"
"incremental","mlpe","rvm","583.14","7.24"
"incremental","mlpe","ksvm","501.61","6.23"
"incremental","naive","lm","599.41","7.44"
"incremental","naive","mlpe","565.37","7.02"
"incremental","naive","naive","565.37","7.02"
"incremental","naive","ctree","579.02","7.19"
"incremental","naive","mlp","565.37","7.02"
"incremental","naive","randomForest","564.36","7.01"
"incremental","naive","mr","599.41","7.44"
"incremental","naive","rvm","805.01","9.99"
"incremental","naive","ksvm","580.74","7.21"
"incremental","ctree","lm","750.4","9.31"
"incremental","ctree","mlpe","808.05","10.03"
"incremental","ctree","naive","565.37","7.02"
"incremental","ctree","ctree","779.02","9.67"
"incremental","ctree","mlp","819.71","10.18"
"incremental","ctree","randomForest","660.13","8.19"
"incremental","ctree","mr","750.4","9.31"
"incremental","ctree","rvm","925.01","11.48"
"incremental","ctree","ksvm","609.29","7.56"
"incremental","mlp","lm","665.35","8.26"
"incremental","mlp","mlpe","935.11","11.61"
"incremental","mlp","naive","565.37","7.02"
"incremental","mlp","ctree","579.7","7.2"
"incremental","mlp","mlp","769.97","9.56"
"incremental","mlp","randomForest","589.4","7.32"
"incremental","mlp","mr","1832.69","22.75"
"incremental","mlp","rvm","575.69","7.15"
"incremental","mlp","ksvm","557.96","6.93"
"incremental","randomForest","lm","650.36","8.07"
"incremental","randomForest","mlpe","585.21","7.26"
"incremental","randomForest","naive","565.37","7.02"
"incremental","randomForest","ctree","585.43","7.27"
"incremental","randomForest","mlp","600.79","7.46"
"incremental","randomForest","randomForest","533.32","6.62"
"incremental","randomForest","mr","678.28","8.42"
"incremental","randomForest","rvm","607.15","7.54"
"incremental","randomForest","ksvm","513.26","6.37"
"incremental","mr","lm","531.93","6.6"
"incremental","mr","mlpe","595.85","7.4"
"incremental","mr","naive","565.37","7.02"
"incremental","mr","ctree","517.81","6.43"
"incremental","mr","mlp","629.08","7.81"
"incremental","mr","randomForest","545.93","6.78"
"incremental","mr","mr","531.93","6.6"
"incremental","mr","rvm","704.83","8.75"
"incremental","mr","ksvm","493.37","6.12"
"incremental","rvm","lm","851.36","10.57"
"incremental","rvm","mlpe","795.23","9.87"
"incremental","rvm","naive","565.37","7.02"
"incremental","rvm","ctree","661.04","8.21"
"incremental","rvm","mlp","853.45","10.59"
"incremental","rvm","randomForest","569.81","7.07"
"incremental","rvm","mr","869.17","10.79"
"incremental","rvm","rvm","925.32","11.49"
"incremental","rvm","ksvm","606.78","7.53"
"incremental","ksvm","lm","520.25","6.46"
"incremental","ksvm","mlpe","496.05","6.16"
"incremental","ksvm","naive","565.37","7.02"
"incremental","ksvm","ctree","513.59","6.38"
"incremental","ksvm","mlp","572.91","7.11"
"incremental","ksvm","randomForest","499.55","6.2"
"incremental","ksvm","mr","524.28","6.51"
"incremental","ksvm","rvm","682.62","8.47"
"incremental","ksvm","ksvm","454.42","5.64"
"incremental","HW","lm","422.62","5.25"
"incremental","HW","mlpe","462.5","5.74"
"incremental","HW","naive","564.47","7.01"
"incremental","HW","ctree","443.57","5.51"
"incremental","HW","mlp","494.31","6.14"
"incremental","HW","randomForest","444.63","5.52"
"incremental","HW","mr","422.62","5.25"
"incremental","HW","rvm","479.35","5.95"
"incremental","HW","ksvm","445.8","5.53"
"incremental","Arima","lm","520.1","6.46"
"incremental","Arima","mlpe","602.91","7.48"
"incremental","Arima","naive","563.04","6.99"
"incremental","Arima","ctree","622.78","7.73"
"incremental","Arima","mlp","577.47","7.17"
"incremental","Arima","randomForest","559.32","6.94"
"incremental","Arima","mr","520.1","6.46"
"incremental","Arima","rvm","671.3","8.33"
"incremental","Arima","ksvm","560.12","6.95"
"incremental","NN","lm","524.4","6.51"
"incremental","NN","mlpe","538.8","6.69"
"incremental","NN","naive","564.47","7.01"
"incremental","NN","ctree","606.01","7.52"
"incremental","NN","mlp","623.34","7.74"
"incremental","NN","randomForest","561.48","6.97"
"incremental","NN","mr","512.76","6.36"
"incremental","NN","rvm","789.81","9.8"
"incremental","NN","ksvm","543.64","6.75"
"incremental","ETS","lm","474.18","5.89"
"incremental","ETS","mlpe","479.37","5.95"
"incremental","ETS","naive","563.04","6.99"
