"window","uni","multi","mae","nmae"
"incremental","lm","lm","961.54","6.26"
"incremental","lm","mlpe","1065.82","6.94"
"incremental","lm","naive","1206.31","7.85"
"incremental","lm","ctree","1035.19","6.74"
"incremental","lm","mlp","1773.36","11.55"
"incremental","lm","randomForest","1030.09","6.71"
"incremental","lm","mr","961.54","6.26"
"incremental","lm","rvm","1326.78","8.64"
"incremental","lm","ksvm","970.26","6.32"
"incremental","mlpe","lm","1637.27","10.66"
"incremental","mlpe","mlpe","1298.83","8.46"
"incremental","mlpe","naive","1206.31","7.85"
"incremental","mlpe","ctree","1336.48","8.7"
"incremental","mlpe","mlp","1195.19","7.78"
"incremental","mlpe","randomForest","984.89","6.41"
"incremental","mlpe","mr","1273.42","8.29"
"incremental","mlpe","rvm","1752.9","11.41"
"incremental","mlpe","ksvm","1031.67","6.72"
"incremental","naive","lm","1319.19","8.59"
"incremental","naive","mlpe","1206.31","7.85"
"incremental","naive","naive","1206.31","7.85"
"incremental","naive","ctree","1203.09","7.83"
"incremental","naive","mlp","1206.31","7.85"
"incremental","naive","randomForest","1175.81","7.66"
"incremental","naive","mr","1319.19","8.59"
"incremental","naive","rvm","1704.26","11.1"
"incremental","naive","ksvm","1222.78","7.96"
"incremental","ctree","lm","1392.18","9.06"
"incremental","ctree","mlpe","1389.84","9.05"
"incremental","ctree","naive","1206.31","7.85"
"incremental","ctree","ctree","1415.31","9.21"
"incremental","ctree","mlp","1420.77","9.25"
"incremental","ctree","randomForest","1266.87","8.25"
"incremental","ctree","mr","1392.18","9.06"
"incremental","ctree","rvm","1486.74","9.68"
"incremental","ctree","ksvm","1293.22","8.42"
"incremental","mlp","lm","2267","14.76"
"incremental","mlp","mlpe","1105.81","7.2"
"incremental","mlp","naive","1206.31","7.85"
"incremental","mlp","ctree","1073.69","6.99"
"incremental","mlp","mlp","1555.7","10.13"
"incremental","mlp","randomForest","1145.95","7.46"
"incremental","mlp","mr","1343.32","8.75"
"incremental","mlp","rvm","1895.32","12.34"
"incremental","mlp","ksvm","1125.87","7.33"
"incremental","randomForest","lm","987.16","6.43"
"incremental","randomForest","mlpe","902.28","5.87"
"incremental","randomForest","naive","1206.31","7.85"
"incremental","randomForest","ctree","942.23","6.13"
"incremental","randomForest","mlp","1004.55","6.54"
"incremental","randomForest","randomForest","961.76","6.26"
"incremental","randomForest","mr","962.24","6.26"
"incremental","randomForest","rvm","1123.73","7.32"
"incremental","randomForest","ksvm","854.93","5.57"
"incremental","mr","lm","961.54","6.26"
"incremental","mr","mlpe","1138.83","7.41"
"incremental","mr","naive","1206.31","7.85"
"incremental","mr","ctree","1035.19","6.74"
"incremental","mr","mlp","1224.03","7.97"
"incremental","mr","randomForest","1015.05","6.61"
"incremental","mr","mr","961.54","6.26"
"incremental","mr","rvm","1468.13","9.56"
"incremental","mr","ksvm","977.63","6.36"
"incremental","rvm","lm","1765.56","11.49"
"incremental","rvm","mlpe","1589.73","10.35"
"incremental","rvm","naive","1206.31","7.85"
"incremental","rvm","ctree","1439.75","9.37"
"incremental","rvm","mlp","1699.5","11.06"
"incremental","rvm","randomForest","1171.39","7.63"
"incremental","rvm","mr","1874.23","12.2"
"incremental","rvm","rvm","2025.63","13.19"
"incremental","rvm","ksvm","1247.19","8.12"
"incremental","ksvm","lm","862.6","5.62"
"incremental","ksvm","mlpe","972.91","6.33"
"incremental","ksvm","naive","1206.31","7.85"
"incremental","ksvm","ctree","907.56","5.91"
"incremental","ksvm","mlp","890.49","5.8"
"incremental","ksvm","randomForest","966.37","6.29"
"incremental","ksvm","mr","857.8","5.58"
"incremental","ksvm","rvm","1310.48","8.53"
"incremental","ksvm","ksvm","903.23","5.88"
"incremental","HW","lm","757.59","4.93"
"incremental","HW","mlpe","861.11","5.61"
"incremental","HW","naive","1209.38","7.87"
"incremental","HW","ctree","781.13","5.09"
"incremental","HW","mlp","946.07","6.16"
"incremental","HW","randomForest","870.13","5.66"
"incremental","HW","mr","757.59","4.93"
"incremental","HW","rvm","1988.02","12.94"
"incremental","HW","ksvm","866.4","5.64"
"incremental","Arima","lm","990.36","6.45"
"incremental","Arima","mlpe","1135.57","7.39"
"incremental","Arima","naive","1205.24","7.85"
"incremental","Arima","ctree","1082.09","7.04"
"incremental","Arima","mlp","1352.24","8.8"
"incremental","Arima","randomForest","1091.63","7.11"
"incremental","Arima","mr","990.36","6.45"
"incremental","Arima","rvm","1582.15","10.3"
"incremental","Arima","ksvm","1062.1","6.91"
"incremental","NN","lm","1070.28","6.97"
"incremental","NN","mlpe","1004.73","6.54"
"incremental","NN","naive","1209.38","7.87"
"incremental","NN","ctree","1209.74","7.88"
"incremental","NN","mlp","1169.79","7.62"
"incremental","NN","randomForest","1000.24","6.51"
"incremental","NN","mr","1074.5","7"
"incremental","NN","rvm","1294.7","8.43"
"incremental","NN","ksvm","931.97","6.07"
"incremental","ETS","lm","895.02","5.83"
"incremental","ETS","mlpe","1302.35","8.48"
"incremental","ETS","naive","1205.24","7.85"
"incremental","ETS","ctree","973.04","6.33"
"incremental","ETS","mlp","1130.85","7.36"
"incremental","ETS","randomForest","979.78","6.38"
"incremental","ETS","mr","895.02","5.83"
"incremental","ETS","rvm","1633.67","10.64"
"incremental","ETS","ksvm","913.79","5.95"
"rolling","lm","lm","1177.71","7.67"
"rolling","lm","mlpe","1260.11","8.2"
"rolling","lm","naive","1209.99","7.88"
"rolling","lm","ctree","1224.32","7.97"
"rolling","lm","mlp","1341","8.73"
"rolling","lm","randomForest","1188.4","7.74"
"rolling","lm","mr","1177.71","7.67"
"rolling","lm","rvm","1347.65","8.77"
"rolling","lm","ksvm","1364.2","8.88"
"rolling","mlpe","lm","1243.03","8.09"
"rolling","mlpe","mlpe","1238.14","8.06"
"rolling","mlpe","naive","1209.99","7.88"
"rolling","mlpe","ctree","1272.55","8.28"
"rolling","mlpe","mlp","1304.72","8.49"
"rolling","mlpe","randomForest","1156.92","7.53"
"rolling","mlpe","mr","1188.1","7.74"
"rolling","mlpe","rvm","1274.88","8.3"
"rolling","mlpe","ksvm","1353.66","8.81"
"rolling","naive","lm","1117.06","7.27"
"rolling","naive","mlpe","1209.99","7.88"
"rolling","naive","naive","1209.99","7.88"
"rolling","naive","ctree","1253.87","8.16"
"rolling","naive","mlp","1209.99","7.88"
"rolling","naive","randomForest","1186.43","7.72"
"rolling","naive","mr","1117.06","7.27"
"rolling","naive","rvm","1120.25","7.29"
"rolling","naive","ksvm","1223.74","7.97"
"rolling","ctree","lm","1184.9","7.71"
"rolling","ctree","mlpe","1339.27","8.72"
"rolling","ctree","naive","1209.99","7.88"
"rolling","ctree","ctree","1375.6","8.96"
"rolling","ctree","mlp","1424.46","9.27"
"rolling","ctree","randomForest","1250.91","8.14"
"rolling","ctree","mr","1184.9","7.71"
"rolling","ctree","rvm","1193.02","7.77"
"rolling","ctree","ksvm","1313.89","8.55"
"rolling","mlp","lm","1186.76","7.73"
"rolling","mlp","mlpe","1328.18","8.65"
"rolling","mlp","naive","1209.99","7.88"
"rolling","mlp","ctree","1205.47","7.85"
"rolling","mlp","mlp","1135.35","7.39"
"rolling","mlp","randomForest","1189.05","7.74"
"rolling","mlp","mr","1117.43","7.27"
"rolling","mlp","rvm","1376.18","8.96"
"rolling","mlp","ksvm","1355.62","8.83"
"rolling","randomForest","lm","1134.19","7.38"
"rolling","randomForest","mlpe","1306.44","8.51"
"rolling","randomForest","naive","1209.99","7.88"
"rolling","randomForest","ctree","1215.2","7.91"
"rolling","randomForest","mlp","1316.74","8.57"
"rolling","randomForest","randomForest","1140.85","7.43"
