"","male","weather","maxtemp","RH","maxwind","holiday"
"200",1773,0,17,89,0,0
"201",2319,1,17,89,34,0
"202",2000,0,17,83,40,1
"203",1533,0,14,86,29,0
"204",1218,1,14,69,0,0
"205",1034,1,14,62,34,0
"206",748,1,14,64,27,0
"207",1470,1,16,83,32,0
"208",2052,1,17,88,0,0
"209",2163,1,18,79,0,0
"210",1446,1,16,79,0,0
"211",1378,0,17,87,0,0
"212",1315,1,17,76,0,0
"213",1298,1,17,80,0,0
"214",1801,1,16,94,0,0
"215",2159,1,14,76,0,0
"216",2639,1,16,82,0,0
"217",1365,1,16,75,0,0
"218",1235,1,17,72,48,0
"219",1234,1,16,73,42,0
"220",1196,1,17,55,53,0
"221",2088,1,13,56,0,0
"222",3768,1,10,63,50,0
"223",3294,1,11,69,0,0
"224",1918,0,13,74,0,0
"225",1500,1,13,78,52,0
"226",1787,1,10,64,29,0
"227",1464,0,9,79,0,0
"228",1929,0,11,99,0,0
"229",2400,1,10,84,0,0
"230",2605,1,9,58,0,0
"231",1401,1,10,56,0,0
"232",1400,1,10,57,37,0
"233",1327,1,9,58,0,1
"234",1501,1,8,60,0,0
"235",1891,1,11,62,0,0
"236",2887,1,10,69,0,0
"237",2305,1,10,54,45,0
"238",1495,1,9,58,0,0
"239",1348,1,9,60,35,0
"240",1437,1,11,62,34,0
"241",1484,1,12,70,35,0
"242",855,1,11,67,0,0
"243",2429,1,9,72,34,0
"244",2284,0,7,83,0,1
"245",1376,0,8,83,39,0
"246",1373,1,10,75,37,0
"247",1466,0,12,80,0,0
"248",1885,1,13,81,32,0
"249",3399,0,13,94,29,0
"250",5259,0,13,83,48,0
"251",2390,1,11,83,35,0
"252",1606,1,10,87,32,0
"253",1627,0,11,90,24,0
"254",1880,0,10,93,0,0
"255",2028,0,12,86,74,0
"256",2227,1,9,69,0,0
"257",2967,1,9,68,0,1
