"","female","weather","maxtemp","RH","maxwind","holiday"
"101",1769,1,23,80,35,0
"102",1725,1,22,73,39,0
"103",2087,1,21,71,0,0
"104",2134,1,21,68,0,0
"105",1741,1,22,69,50,0
"106",1713,1,22,64,40,0
"107",1825,1,23,69,32,0
"108",2157,1,21,73,0,0
"109",2031,1,20,70,0,0
"110",2182,1,20,69,0,0
"111",2445,0,21,74,0,0
"112",1846,0,21,72,27,0
"113",1946,1,26,54,40,0
"114",1883,1,26,56,42,0
"115",2023,1,23,66,0,0
"116",2660,1,22,67,0,0
"117",3693,1,21,68,42,0
"118",4314,1,22,66,0,0
"119",2095,1,22,71,0,0
"120",1979,1,22,71,0,0
"121",2026,1,21,70,0,0
"122",1747,1,22,61,0,0
"123",1860,1,28,39,39,0
"124",2100,1,30,33,39,0
"125",1798,1,29,40,35,0
"126",1987,1,23,73,0,0
"127",1888,1,24,71,37,0
"128",2023,1,26,66,34,0
"129",4189,1,26,70,32,1
"130",1758,1,22,69,45,0
"131",1867,1,23,71,52,0
"132",1971,1,23,69,0,0
"133",1943,1,27,52,0,0
"134",1631,1,28,31,29,1
"135",1651,1,26,54,29,0
"136",1754,1,24,66,0,1
"137",1743,1,22,68,52,0
"138",2168,1,22,72,50,0
"139",1781,1,24,59,37,0
"140",1862,1,22,65,34,0
"141",3842,1,23,66,34,0
"142",2339,1,23,55,35,0
"143",1750,1,23,53,47,0
"144",1869,1,24,48,40,0
"145",1996,1,26,33,34,0
"146",2078,1,26,34,0,0
"147",1833,1,26,40,42,0
"148",1863,1,27,37,37,0
"149",1645,1,24,45,0,0
"150",1668,1,23,63,37,0
"151",1735,1,22,72,0,0
"152",2459,1,20,70,0,1
"153",2540,1,19,61,0,0
"154",1811,1,21,54,0,0
"155",1760,1,22,73,29,0
"156",2004,1,24,57,35,0
"157",1803,1,26,37,37,0
"158",1895,1,26,33,0,0
"159",2710,1,24,49,50,0
"160",2376,1,22,73,0,1
"161",2126,1,20,73,50,0
"162",2184,1,21,70,0,0
"163",1999,1,20,74,47,0
"164",2030,1,22,68,0,0
"165",2050,1,24,46,42,0
"166",2825,1,24,42,35,1
"167",2880,1,26,46,29,1
"168",2067,1,22,68,37,0
"169",1983,1,21,81,0,0
"170",2225,0,20,85,0,0
"171",1949,0,20,83,52,0
"172",1016,0,21,86,64,0
"173",1948,0,19,91,55,0
"174",2101,0,19,92,0,0
"175",1403,0,20,99,0,0
"176",1258,0,20,97,48,0
"177",1197,0,20,93,40,0
"178",3715,0,20,84,0,0
"179",1354,0,19,86,0,0
"180",2110,1,19,79,0,0
"181",7645,1,21,68,39,0
"182",1857,1,22,57,40,0
"183",655,1,22,53,42,0
"184",1257,1,22,50,34,0
"185",1139,1,23,51,32,0
"186",989,1,20,67,0,0
"187",2172,1,17,71,0,0
"188",1804,1,17,75,0,0
"189",754,1,18,88,24,0
"190",680,0,20,86,0,0
"191",744,1,19,85,40,0
"192",676,0,21,86,39,0
"193",1922,0,18,91,69,0
"194",1070,0,18,87,0,0
"195",1072,0,18,89,34,0
"196",756,0,20,85,63,0
"197",755,0,19,88,74,0
"198",1041,0,19,92,0,0
"199",1256,0,19,94,66,0
"200",1087,0,17,89,0,0
"201",1777,1,17,89,34,0
"202",1504,0,17,83,40,1
"203",1086,0,14,86,29,0
"204",861,1,14,69,0,0
"205",799,1,14,62,34,0
"206",596,1,14,64,27,0
"207",1169,1,16,83,32,0
"208",1926,1,17,88,0,0
"209",1766,1,18,79,0,0
"210",1156,1,16,79,0,0
"211",1027,0,17,87,0,0
"212",993,1,17,76,0,0
"213",1039,1,17,80,0,0
"214",1431,1,16,94,0,0
"215",1948,1,14,76,0,0
"216",2312,1,16,82,0,0
"217",930,1,16,75,0,0
"218",840,1,17,72,48,0
"219",976,1,16,73,42,0
"220",780,1,17,55,53,0
"221",1425,1,13,56,0,0
"222",3549,1,10,63,50,0
"223",2542,1,11,69,0,0
"224",1371,0,13,74,0,0
"225",1170,1,13,78,52,0
"226",1341,1,10,64,29,0
"227",1061,0,9,79,0,0
"228",1377,0,11,99,0,0
"229",2184,1,10,84,0,0
"230",2317,1,9,58,0,0
"231",1082,1,10,56,0,0
"232",1015,1,10,57,37,0
"233",899,1,9,58,0,1
"234",1238,1,8,60,0,0
"235",1789,1,11,62,0,0
"236",2854,1,10,69,0,0
"237",2289,1,10,54,45,0
"238",1705,1,9,58,0,0
"239",1440,1,9,60,35,0
"240",1540,1,11,62,34,0
"241",1811,1,12,70,35,0
"242",1409,1,11,67,0,0
"243",2855,1,9,72,34,0
"244",2235,0,7,83,0,1
"245",1080,0,8,83,39,0
"246",1153,1,10,75,37,0
"247",1189,0,12,80,0,0
"248",1708,1,13,81,32,0
"249",3043,0,13,94,29,0
"250",5246,0,13,83,48,0
"251",2299,1,11,83,35,0
"252",1442,1,10,87,32,0
"253",1427,0,11,90,24,0
"254",2035,0,10,93,0,0
"255",2043,0,12,86,74,0
"256",2207,1,9,69,0,0
"257",2894,1,9,68,0,1
