"","young","weather","maxtemp","RH","maxwind","holiday"
"201",1942,1,17,89,34,0
"202",1521,0,17,83,40,1
"203",1064,0,14,86,29,0
"204",961,1,14,69,0,0
"205",874,1,14,62,34,0
"206",568,1,14,64,27,0
"207",1142,1,16,83,32,0
"208",1975,1,17,88,0,0
"209",1879,1,18,79,0,0
"210",1003,1,16,79,0,0
"211",966,0,17,87,0,0
"212",948,1,17,76,0,0
"213",999,1,17,80,0,0
"214",1489,1,16,94,0,0
"215",1980,1,14,76,0,0
"216",2226,1,16,82,0,0
"217",949,1,16,75,0,0
"218",845,1,17,72,48,0
"219",947,1,16,73,42,0
"220",882,1,17,55,53,0
"221",1608,1,13,56,0,0
"222",3889,1,10,63,50,0
"223",2953,1,11,69,0,0
"224",1497,0,13,74,0,0
"225",1261,1,13,78,52,0
"226",1518,1,10,64,29,0
"227",1226,0,9,79,0,0
"228",1584,0,11,99,0,0
"229",2442,1,10,84,0,0
"230",2661,1,9,58,0,0
"231",1150,1,10,56,0,0
"232",1246,1,10,57,37,0
"233",1136,1,9,58,0,1
"234",1430,1,8,60,0,0
"235",1962,1,11,62,0,0
"236",3214,1,10,69,0,0
"237",2476,1,10,54,45,0
"238",1594,1,9,58,0,0
"239",1318,1,9,60,35,0
"240",1405,1,11,62,34,0
"241",1576,1,12,70,35,0
"242",1150,1,11,67,0,0
"243",2972,1,9,72,34,0
"244",2489,0,7,83,0,1
"245",1375,0,8,83,39,0
"246",1284,1,10,75,37,0
"247",1387,0,12,80,0,0
"248",1933,1,13,81,32,0
"249",3475,0,13,94,29,0
"250",5953,0,13,83,48,0
"251",2680,1,11,83,35,0
"252",1625,1,10,87,32,0
"253",1688,0,11,90,24,0
"254",2208,0,10,93,0,0
"255",2282,0,12,86,74,0
"256",2441,1,9,69,0,0
"257",3115,1,9,68,0,1
