"","all","weather","maxtemp","RH","maxwind","holiday"
"199",3630,0,19,94,66,0
"200",2975,0,17,89,0,0
"201",4327,1,17,89,34,0
"202",3673,0,17,83,40,1
"203",2734,0,14,86,29,0
"204",2185,1,14,69,0,0
"205",1933,1,14,62,34,0
"206",1389,1,14,64,27,0
"207",2796,1,16,83,32,0
"208",4180,1,17,88,0,0
"209",4148,1,18,79,0,0
"210",2748,1,16,79,0,0
"211",2522,0,17,87,0,0
"212",2424,1,17,76,0,0
"213",2450,1,17,80,0,0
"214",3407,1,16,94,0,0
"215",4314,1,14,76,0,0
"216",5187,1,16,82,0,0
"217",2411,1,16,75,0,0
"218",2173,1,17,72,48,0
"219",2315,1,16,73,42,0
"220",2066,1,17,55,53,0
"221",3691,1,13,56,0,0
"222",7719,1,10,63,50,0
"223",6165,1,11,69,0,0
"224",3469,0,13,74,0,0
"225",2847,1,13,78,52,0
"226",3295,1,10,64,29,0
"227",2638,0,9,79,0,0
"228",3459,0,11,99,0,0
"229",4860,1,10,84,0,0
"230",5179,1,9,58,0,0
"231",2642,1,10,56,0,0
"232",2551,1,10,57,37,0
"233",2347,1,9,58,0,1
"234",2863,1,8,60,0,0
"235",3875,1,11,62,0,0
"236",6107,1,10,69,0,0
"237",4857,1,10,54,45,0
"238",3365,1,9,58,0,0
"239",2938,1,9,60,35,0
"240",3119,1,11,62,34,0
"241",3436,1,12,70,35,0
"242",2343,1,11,67,0,0
"243",5579,1,9,72,34,0
"244",4796,0,7,83,0,1
"245",2620,0,8,83,39,0
"246",2663,1,10,75,37,0
"247",2817,0,12,80,0,0
"248",3767,1,13,81,32,0
"249",6804,0,13,94,29,0
"250",11110,0,13,83,48,0
"251",4974,1,11,83,35,0
"252",3228,1,10,87,32,0
"253",3191,0,11,90,24,0
"254",4153,0,10,93,0,0
"255",4307,0,12,86,74,0
"256",4660,1,9,69,0,0
"257",6193,1,9,68,0,1
