"window","uni","multi","mae","nmae"
"incremental","lm","lm","546.01","7.48"
"incremental","lm","mlpe","744","10.19"
"incremental","lm","naive","641.54","8.78"
"incremental","lm","ctree","541.44","7.41"
"incremental","lm","mlp","1785.89","24.45"
"incremental","lm","randomForest","556.1","7.61"
"incremental","lm","mr","546.01","7.48"
"incremental","lm","rvm","664.72","9.1"
"incremental","lm","ksvm","527.16","7.22"
"incremental","mlpe","lm","676.73","9.27"
"incremental","mlpe","mlpe","615.65","8.43"
"incremental","mlpe","naive","641.54","8.78"
"incremental","mlpe","ctree","458.05","6.27"
"incremental","mlpe","mlp","501.13","6.86"
"incremental","mlpe","randomForest","521.04","7.13"
"incremental","mlpe","mr","572.4","7.84"
"incremental","mlpe","rvm","637.18","8.72"
"incremental","mlpe","ksvm","459.28","6.29"
"incremental","naive","lm","722.81","9.9"
"incremental","naive","mlpe","641.54","8.78"
"incremental","naive","naive","641.54","8.78"
"incremental","naive","ctree","652.09","8.93"
"incremental","naive","mlp","641.54","8.78"
"incremental","naive","randomForest","645.8","8.84"
"incremental","naive","mr","722.81","9.9"
"incremental","naive","rvm","864.95","11.84"
"incremental","naive","ksvm","659.33","9.03"
"incremental","ctree","lm","704.53","9.65"
"incremental","ctree","mlpe","907.54","12.43"
"incremental","ctree","naive","641.54","8.78"
"incremental","ctree","ctree","757.1","10.37"
"incremental","ctree","mlp","3040.88","41.63"
"incremental","ctree","randomForest","683","9.35"
"incremental","ctree","mr","704.53","9.65"
"incremental","ctree","rvm","745.64","10.21"
"incremental","ctree","ksvm","648.85","8.88"
"incremental","mlp","lm","620.78","8.5"
"incremental","mlp","mlpe","786.23","10.76"
"incremental","mlp","naive","641.54","8.78"
"incremental","mlp","ctree","688.2","9.42"
"incremental","mlp","mlp","542.25","7.42"
"incremental","mlp","randomForest","569.37","7.8"
"incremental","mlp","mr","494.9","6.78"
"incremental","mlp","rvm","584.85","8.01"
"incremental","mlp","ksvm","616.17","8.44"
"incremental","randomForest","lm","450.2","6.16"
"incremental","randomForest","mlpe","449.74","6.16"
"incremental","randomForest","naive","641.54","8.78"
"incremental","randomForest","ctree","474.93","6.5"
"incremental","randomForest","mlp","440.77","6.03"
"incremental","randomForest","randomForest","521.87","7.15"
"incremental","randomForest","mr","423.43","5.8"
"incremental","randomForest","rvm","461.39","6.32"
"incremental","randomForest","ksvm","451.53","6.18"
"incremental","mr","lm","546.01","7.48"
"incremental","mr","mlpe","613.98","8.41"
"incremental","mr","naive","641.54","8.78"
"incremental","mr","ctree","541.44","7.41"
"incremental","mr","mlp","654.97","8.97"
"incremental","mr","randomForest","550.84","7.54"
"incremental","mr","mr","546.01","7.48"
"incremental","mr","rvm","672.52","9.21"
"incremental","mr","ksvm","530.09","7.26"
"incremental","rvm","lm","832.11","11.39"
"incremental","rvm","mlpe","746.43","10.22"
"incremental","rvm","naive","641.54","8.78"
"incremental","rvm","ctree","692.93","9.49"
"incremental","rvm","mlp","736.91","10.09"
"incremental","rvm","randomForest","595.01","8.15"
"incremental","rvm","mr","807.21","11.05"
"incremental","rvm","rvm","962.41","13.18"
"incremental","rvm","ksvm","590.9","8.09"
"incremental","ksvm","lm","418.36","5.73"
"incremental","ksvm","mlpe","457.76","6.27"
"incremental","ksvm","naive","641.54","8.78"
"incremental","ksvm","ctree","419.19","5.74"
"incremental","ksvm","mlp","586.06","8.02"
"incremental","ksvm","randomForest","497.79","6.82"
"incremental","ksvm","mr","416.88","5.71"
"incremental","ksvm","rvm","515.3","7.06"
"incremental","ksvm","ksvm","427.9","5.86"
"incremental","HW","lm","431.75","5.91"
"incremental","HW","mlpe","468.07","6.41"
"incremental","HW","naive","645.54","8.84"
"incremental","HW","ctree","439.33","6.01"
"incremental","HW","mlp","506.64","6.94"
"incremental","HW","randomForest","486.24","6.66"
"incremental","HW","mr","431.75","5.91"
"incremental","HW","rvm","602.65","8.25"
"incremental","HW","ksvm","474.84","6.5"
"incremental","Arima","lm","527.08","7.22"
"incremental","Arima","mlpe","558.24","7.64"
"incremental","Arima","naive","640.92","8.77"
"incremental","Arima","ctree","566.92","7.76"
"incremental","Arima","mlp","587.15","8.04"
"incremental","Arima","randomForest","568.27","7.78"
"incremental","Arima","mr","527.08","7.22"
"incremental","Arima","rvm","676.47","9.26"
"incremental","Arima","ksvm","548.48","7.51"
"incremental","NN","lm","572.3","7.84"
"incremental","NN","mlpe","521.29","7.14"
"incremental","NN","naive","645.54","8.84"
"incremental","NN","ctree","507.82","6.95"
"incremental","NN","mlp","519.22","7.11"
