"window","uni","multi","mae","nmae"
"rolling","lm","lm","594.89","8.65"
"rolling","lm","mlpe","739.82","10.76"
"rolling","lm","naive","534.4","7.77"
"rolling","lm","ctree","694.65","10.1"
"rolling","lm","mlp","667.45","9.71"
"rolling","lm","randomForest","615.49","8.95"
"rolling","lm","mr","594.89","8.65"
"rolling","lm","rvm","653.25","9.5"
"rolling","lm","ksvm","565.46","8.22"
"rolling","mlpe","lm","571.31","8.31"
"rolling","mlpe","mlpe","581.57","8.46"
"rolling","mlpe","naive","534.4","7.77"
"rolling","mlpe","ctree","626.48","9.11"
"rolling","mlpe","mlp","673.15","9.79"
"rolling","mlpe","randomForest","577.11","8.39"
"rolling","mlpe","mr","575.33","8.37"
"rolling","mlpe","rvm","625.76","9.1"
"rolling","mlpe","ksvm","533.76","7.76"
"rolling","naive","lm","562.28","8.18"
"rolling","naive","mlpe","534.4","7.77"
"rolling","naive","naive","534.4","7.77"
"rolling","naive","ctree","664.94","9.67"
"rolling","naive","mlp","534.4","7.77"
"rolling","naive","randomForest","574.65","8.36"
"rolling","naive","mr","562.28","8.18"
"rolling","naive","rvm","574.18","8.35"
"rolling","naive","ksvm","538.35","7.83"
"rolling","ctree","lm","573.23","8.34"
"rolling","ctree","mlpe","703.35","10.23"
"rolling","ctree","naive","534.4","7.77"
"rolling","ctree","ctree","708.85","10.31"
"rolling","ctree","mlp","682.54","9.93"
"rolling","ctree","randomForest","614.76","8.94"
"rolling","ctree","mr","573.23","8.34"
"rolling","ctree","rvm","614.48","8.94"
"rolling","ctree","ksvm","577.66","8.4"
"rolling","mlp","lm","532.53","7.75"
"rolling","mlp","mlpe","675.66","9.83"
"rolling","mlp","naive","534.4","7.77"
"rolling","mlp","ctree","620.82","9.03"
"rolling","mlp","mlp","808.58","11.76"
"rolling","mlp","randomForest","570.07","8.29"
"rolling","mlp","mr","594.61","8.65"
"rolling","mlp","rvm","555.82","8.08"
"rolling","mlp","ksvm","513","7.46"
"rolling","randomForest","lm","524.29","7.63"
"rolling","randomForest","mlpe","552.92","8.04"
"rolling","randomForest","naive","534.4","7.77"
"rolling","randomForest","ctree","601.12","8.74"
"rolling","randomForest","mlp","606.97","8.83"
"rolling","randomForest","randomForest","533.87","7.77"
"rolling","randomForest","mr","526.96","7.66"
"rolling","randomForest","rvm","552.82","8.04"
"rolling","randomForest","ksvm","497.76","7.24"
"rolling","mr","lm","594.89","8.65"
"rolling","mr","mlpe","632.43","9.2"
"rolling","mr","naive","534.4","7.77"
"rolling","mr","ctree","694.65","10.1"
"rolling","mr","mlp","688.54","10.02"
"rolling","mr","randomForest","616.23","8.96"
"rolling","mr","mr","594.89","8.65"
"rolling","mr","rvm","711.27","10.35"
"rolling","mr","ksvm","565.87","8.23"
"rolling","rvm","lm","586.02","8.52"
"rolling","rvm","mlpe","675.51","9.83"
"rolling","rvm","naive","534.4","7.77"
"rolling","rvm","ctree","652.15","9.49"
"rolling","rvm","mlp","757.58","11.02"
"rolling","rvm","randomForest","562.32","8.18"
"rolling","rvm","mr","582.07","8.47"
"rolling","rvm","rvm","633.39","9.21"
"rolling","rvm","ksvm","516.12","7.51"
"rolling","ksvm","lm","477.93","6.95"
"rolling","ksvm","mlpe","687.12","9.99"
"rolling","ksvm","naive","534.4","7.77"
"rolling","ksvm","ctree","524.71","7.63"
"rolling","ksvm","mlp","917.34","13.34"
"rolling","ksvm","randomForest","546.19","7.94"
"rolling","ksvm","mr","476.23","6.93"
"rolling","ksvm","rvm","511.18","7.44"
"rolling","ksvm","ksvm","483.16","7.03"
"rolling","HW","lm","501.19","7.29"
"rolling","HW","mlpe","573.75","8.35"
"rolling","HW","naive","532.22","7.74"
"rolling","HW","ctree","699.29","10.17"
"rolling","HW","mlp","568.18","8.26"
"rolling","HW","randomForest","573.93","8.35"
"rolling","HW","mr","501.19","7.29"
"rolling","HW","rvm","572.33","8.32"
"rolling","HW","ksvm","580.89","8.45"
"rolling","Arima","lm","602.68","8.77"
"rolling","Arima","mlpe","933.69","13.58"
"rolling","Arima","naive","533.8","7.76"
"rolling","Arima","ctree","675.35","9.82"
"rolling","Arima","mlp","674.67","9.81"
"rolling","Arima","randomForest","634.15","9.22"
"rolling","Arima","mr","602.68","8.77"
"rolling","Arima","rvm","733.88","10.67"
"rolling","Arima","ksvm","545.43","7.93"
"rolling","NN","lm","525.82","7.65"
"rolling","NN","mlpe","578.3","8.41"
"rolling","NN","naive","532.22","7.74"
"rolling","NN","ctree","692.9","10.08"
"rolling","NN","mlp","612.64","8.91"
"rolling","NN","randomForest","596.76","8.68"
"rolling","NN","mr","524.03","7.62"
"rolling","NN","rvm","630.13","9.17"
"rolling","NN","ksvm","589.76","8.58"
"rolling","ETS","lm","530.46","7.72"
"rolling","ETS","mlpe","581.22","8.45"
"rolling","ETS","naive","533.8","7.76"
"rolling","ETS","ctree","564.5","8.21"
"rolling","ETS","mlp","629.87","9.16"
"rolling","ETS","randomForest","607.07","8.83"
"rolling","ETS","mr","530.46","7.72"
"rolling","ETS","rvm","730.94","10.63"
"rolling","ETS","ksvm","532.51","7.75"
"incremental","lm","lm","508.93","7.4"
"incremental","lm","mlpe","576.63","8.39"
"incremental","lm","naive","532.99","7.75"
"incremental","lm","ctree","561.75","8.17"
"incremental","lm","mlp","670.95","9.76"
"incremental","lm","randomForest","520.07","7.56"
"incremental","lm","mr","508.93","7.4"
"incremental","lm","rvm","650.15","9.46"
"incremental","lm","ksvm","490.12","7.13"
"incremental","mlpe","lm","501.95","7.3"
"incremental","mlpe","mlpe","615.2","8.95"
"incremental","mlpe","naive","532.99","7.75"
"incremental","mlpe","ctree","637.84","9.28"
"incremental","mlpe","mlp","804.32","11.7"
"incremental","mlpe","randomForest","584.23","8.5"
"incremental","mlpe","mr","578.31","8.41"
"incremental","mlpe","rvm","537.86","7.82"
"incremental","mlpe","ksvm","569.75","8.29"
"incremental","naive","lm","602.48","8.76"
"incremental","naive","mlpe","532.99","7.75"
"incremental","naive","naive","532.99","7.75"
"incremental","naive","ctree","571.63","8.31"
"incremental","naive","mlp","532.99","7.75"
"incremental","naive","randomForest","544.42","7.92"
"incremental","naive","mr","602.48","8.76"
"incremental","naive","rvm","762.03","11.08"
"incremental","naive","ksvm","536.79","7.81"
"incremental","ctree","lm","614.3","8.94"
"incremental","ctree","mlpe","661.41","9.62"
"incremental","ctree","naive","532.99","7.75"
"incremental","ctree","ctree","626.01","9.11"
"incremental","ctree","mlp","846.69","12.32"
"incremental","ctree","randomForest","574.61","8.36"
"incremental","ctree","mr","614.3","8.94"
"incremental","ctree","rvm","749.93","10.91"
"incremental","ctree","ksvm","556.2","8.09"
"incremental","mlp","lm","576.49","8.39"
"incremental","mlp","mlpe","684.21","9.95"
"incremental","mlp","naive","532.99","7.75"
"incremental","mlp","ctree","813","11.83"
"incremental","mlp","mlp","747.37","10.87"
"incremental","mlp","randomForest","532.19","7.74"
"incremental","mlp","mr","702.7","10.22"
"incremental","mlp","rvm","585.36","8.51"
"incremental","mlp","ksvm","558.89","8.13"
"incremental","randomForest","lm","514.02","7.48"
"incremental","randomForest","mlpe","485.46","7.06"
"incremental","randomForest","naive","532.99","7.75"
"incremental","randomForest","ctree","468.04","6.81"
"incremental","randomForest","mlp","470.04","6.84"
"incremental","randomForest","randomForest","461.21","6.71"
"incremental","randomForest","mr","522.17","7.6"
"incremental","randomForest","rvm","423.82","6.16"
"incremental","randomForest","ksvm","446.52","6.49"
"incremental","mr","lm","508.93","7.4"
"incremental","mr","mlpe","608.8","8.86"
"incremental","mr","naive","532.99","7.75"
"incremental","mr","ctree","561.75","8.17"
"incremental","mr","mlp","713.26","10.37"
"incremental","mr","randomForest","514.98","7.49"
"incremental","mr","mr","508.93","7.4"
"incremental","mr","rvm","584.86","8.51"
"incremental","mr","ksvm","495.17","7.2"
"incremental","rvm","lm","865.68","12.59"
"incremental","rvm","mlpe","860.63","12.52"
"incremental","rvm","naive","532.99","7.75"
"incremental","rvm","ctree","668.57","9.72"
"incremental","rvm","mlp","798.99","11.62"
"incremental","rvm","randomForest","571.88","8.32"
"incremental","rvm","mr","860.6","12.52"
"incremental","rvm","rvm","860.09","12.51"
"incremental","rvm","ksvm","594.19","8.64"
"incremental","ksvm","lm","482.57","7.02"
"incremental","ksvm","mlpe","636.11","9.25"
"incremental","ksvm","naive","532.99","7.75"
"incremental","ksvm","ctree","439.62","6.39"
"incremental","ksvm","mlp","992.18","14.43"
"incremental","ksvm","randomForest","476.91","6.94"
"incremental","ksvm","mr","477.5","6.95"
"incremental","ksvm","rvm","515.04","7.49"
"incremental","ksvm","ksvm","463.22","6.74"
"incremental","HW","lm","413.97","6.02"
"incremental","HW","mlpe","472.91","6.88"
"incremental","HW","naive","532.84","7.75"
"incremental","HW","ctree","461.39","6.71"
"incremental","HW","mlp","450.48","6.55"
"incremental","HW","randomForest","454.65","6.61"
"incremental","HW","mr","413.97","6.02"
"incremental","HW","rvm","599.67","8.72"
"incremental","HW","ksvm","458","6.66"
"incremental","Arima","lm","507.27","7.38"
"incremental","Arima","mlpe","522.52","7.6"
"incremental","Arima","naive","532.41","7.74"
"incremental","Arima","ctree","580.67","8.45"
"incremental","Arima","mlp","582.89","8.48"
"incremental","Arima","randomForest","530.23","7.71"
"incremental","Arima","mr","507.27","7.38"
"incremental","Arima","rvm","600.97","8.74"
"incremental","Arima","ksvm","521.94","7.59"
