"window","model","mae","nmae"
"incremental","lm","528.67790575526","7.23819695721879"
"incremental","mlpe","613.357628296923","8.39755789015502"
"incremental","naive","641.538560477727","8.78338664399954"
"incremental","ctree","686.694279686727","9.4016193823484"
"incremental","mlp","562.317783111161","7.69876482901371"
"incremental","randomForest","460.727390952381","6.3078777512648"
"incremental","mr","528.677905946774","7.23819695984082"
"incremental","rvm","818.910110409715","11.211803264098"
"incremental","ksvm","424.474282270559","5.81153179450382"
"incremental","HW","441.93","6.05"
"incremental","Arima","515.64","7.06"
"incremental","NN","481.82","6.6"
"incremental","ETS","409.96","5.61"
"rolling","lm","754.790345451645","10.3339313451759"
"rolling","mlpe","555.607695575614","7.60689616067379"
"rolling","naive","646.830079365079","8.85583350718893"
"rolling","ctree","712.722203473319","9.75797102236199"
"rolling","mlp","722.756906481324","9.89535742718133"
"rolling","randomForest","483.913189047619","6.62531748422261"
"rolling","mr","754.790342884649","10.3339313100308"
"rolling","rvm","588.778369159875","8.06104010350322"
"rolling","ksvm","539.752770147529","7.38982434484568"
"rolling","HW","466.91","6.39"
"rolling","Arima","511.28","7"
"rolling","NN","486.21","6.66"
"rolling","ETS","396.17","5.42"
