"","adult","weather","maxtemp","RH","maxwind"
"229",2418,1,10,84,0
"230",2518,1,9,58,0
"231",1492,1,10,56,0
"232",1305,1,10,57,37
"233",1211,1,9,58,0
"234",1433,1,8,60,0
"235",1913,1,11,62,0
"236",2893,1,10,69,0
"237",2381,1,10,54,45
"238",1771,1,9,58,0
"239",1620,1,9,60,35
"240",1714,1,11,62,34
"241",1860,1,12,70,35
"242",1193,1,11,67,0
"243",2607,1,9,72,34
"244",2307,0,7,83,0
"245",1245,0,8,83,39
"246",1379,1,10,75,37
"247",1430,0,12,80,0
"248",1834,1,13,81,32
"249",3329,0,13,94,29
"250",2000,0,13,83,48
"251",2294,1,11,83,35
"252",1603,1,10,87,32
"253",1503,0,11,90,24
"254",1945,0,10,93,0
"255",2025,0,12,86,74
"256",2219,1,9,69,0
"257",3078,1,9,68,0
