"window","model","mae","nmae"
"incremental","lm","615.69","7.64"
"incremental","mlpe","596.53","7.4"
"incremental","naive","563.04","6.99"
"incremental","ctree","564.63","7.01"
"incremental","mlp","561.03","6.96"
"incremental","randomForest","565.21","7.02"
"incremental","mr","615.69","7.64"
"incremental","rvm","864.8","10.73"
"incremental","ksvm","578.5","7.18"
"rolling","lm","578.5","7.18"
"rolling","mlpe","578.5","7.18"
"rolling","naive","578.5","7.18"
"rolling","ctree","578.5","7.18"
"rolling","mlp","578.5","7.18"
"rolling","randomForest","578.5","7.18"
"rolling","mr","578.5","7.18"
"rolling","rvm","578.5","7.18"
"rolling","ksvm","578.5","7.18"
