"window","model","mae","nmae"
"incremental","lm","654.96","4.26"
"incremental","mlpe","609.16","3.97"
"incremental","naive","630.2","4.1"
"incremental","ctree","578.98","3.77"
"incremental","mlp","643.62","4.19"
"incremental","randomForest","613.58","3.99"
"incremental","mr","654.96","4.26"
"incremental","rvm","777.41","5.06"
"incremental","ksvm","629.48","4.1"
"rolling","lm","629.48","4.1"
"rolling","mlpe","629.48","4.1"
"rolling","naive","629.48","4.1"
"rolling","ctree","629.48","4.1"
"rolling","mlp","629.48","4.1"
"rolling","randomForest","629.48","4.1"
"rolling","mr","629.48","4.1"
"rolling","rvm","629.48","4.1"
"rolling","ksvm","629.48","4.1"
