"window","model","mae","nmae"
"incremental","lm","1315.14","8.56"
"incremental","mlpe","1187.18","7.73"
"incremental","naive","1180.67","7.69"
"incremental","ctree","1172.8","7.64"
"incremental","mlp","1255.64","8.17"
"incremental","randomForest","1192.45","7.76"
"incremental","mr","1315.14","8.56"
"incremental","rvm","1797.62","11.7"
"incremental","ksvm","1229.24","8"
"rolling","lm","1229.24","8"
"rolling","mlpe","1229.24","8"
"rolling","naive","1229.24","8"
"rolling","ctree","1229.24","8"
"rolling","mlp","1229.24","8"
"rolling","randomForest","1229.24","8"
"rolling","mr","1229.24","8"
"rolling","rvm","1229.24","8"
"rolling","ksvm","1229.24","8"
