"window","model","mae","nmae"
"incremental","lm","1053.49694985061","6.85870410058994"
"incremental","mlpe","959.992003356177","6.24994793851678"
"incremental","naive","1183.18950804549","7.70305669300448"
"incremental","ctree","1420.79921943893","9.24999491822217"
"incremental","mlp","1197.77406583206","7.79800824109414"
"incremental","randomForest","901.309692840136","5.86790164609464"
"incremental","mr","1053.49696743233","6.85870421505426"
"incremental","rvm","1663.82146126271","10.8321709717625"
"incremental","ksvm","855.811221725625","5.57168764144287"
"incremental","HW","887.17","5.78"
"incremental","Arima","1014","6.6"
"incremental","NN","1095.63","7.13"
"incremental","ETS","868.34","5.65"
"rolling","lm","1442.12428644741","9.38882998989196"
"rolling","mlpe","1339.60613782548","8.721394126468"
"rolling","naive","1198.37325396825","7.80190920552249"
"rolling","ctree","1493.36228906052","9.72241073607108"
"rolling","mlp","1705.11666541165","11.1010199571071"
"rolling","randomForest","826.175095","5.37874410807291"
"rolling","mr","1442.12429557986","9.38883004934802"
"rolling","rvm","1209.30832862821","7.87310109783993"
"rolling","ksvm","992.152267611388","6.45932465892831"
"rolling","HW","947.08","6.17"
"rolling","Arima","978.5","6.37"
"rolling","NN","1201.26","7.82"
"rolling","ETS","802.47","5.22"
