"window","model","mae","nmae"
"incremental","lm","540.621708928789","6.71079579107236"
"incremental","mlpe","776.255222349653","9.6357400986799"
"incremental","naive","565.373122872134","7.01803777150117"
"incremental","ctree","770.590091223434","9.5654182128033"
"incremental","mlp","751.455696115394","9.32790089517619"
"incremental","randomForest","545.269983809524","6.7684953303069"
"incremental","mr","540.621709331906","6.71079579607629"
"incremental","rvm","874.320828970865","10.8530390885162"
"incremental","ksvm","461.748814058604","5.73173800966489"
"incremental","HW","465.35","5.78"
"incremental","Arima","532.29","6.61"
"incremental","NN","664.85","8.25"
"incremental","ETS","494.43","6.14"
"rolling","lm","696.236248494155","8.64245591477353"
"rolling","mlpe","625.037735501279","7.75866106630187"
"rolling","naive","589.434285714286","7.3167115902965"
"rolling","ctree","801.297549990882","9.94659322232972"
"rolling","mlp","1169.34735508605","14.5152352915349"
"rolling","randomForest","431.126769166667","5.35162325182059"
"rolling","mr","696.236249348884","8.64245592538337"
"rolling","rvm","566.452152391068","7.03143188171634"
"rolling","ksvm","433.563108500321","5.38186579568422"
"rolling","HW","511.07","6.34"
"rolling","Arima","522.15","6.48"
"rolling","NN","597.51","7.42"
"rolling","ETS","437.39","5.43"
