"window","uni","multi","mae","nmae"
"rolling","mlpe","mlpe","713.79","9.58"
"rolling","mlpe","naive","644.9","8.66"
"rolling","mlpe","ctree","747.85","10.04"
"rolling","mlpe","mlp","870.72","11.69"
"rolling","mlpe","randomForest","673.04","9.03"
"rolling","mlpe","mr","623.37","8.37"
"rolling","mlpe","rvm","654.36","8.78"
"rolling","mlpe","ksvm","593.3","7.96"
"rolling","naive","lm","671.45","9.01"
"rolling","naive","mlpe","644.9","8.66"
"rolling","naive","naive","644.9","8.66"
"rolling","naive","ctree","795.81","10.68"
"rolling","naive","mlp","644.9","8.66"
"rolling","naive","randomForest","706.48","9.48"
"rolling","naive","mr","671.45","9.01"
"rolling","naive","rvm","753.32","10.11"
"rolling","naive","ksvm","650.48","8.73"
"rolling","ctree","lm","703.77","9.45"
"rolling","ctree","mlpe","831.09","11.15"
"rolling","ctree","naive","644.9","8.66"
"rolling","ctree","ctree","813.94","10.92"
"rolling","ctree","mlp","804.52","10.8"
"rolling","ctree","randomForest","765.42","10.27"
"rolling","ctree","mr","703.77","9.45"
"rolling","ctree","rvm","769.6","10.33"
"rolling","ctree","ksvm","705.75","9.47"
"rolling","mlp","lm","608.11","8.16"
"rolling","mlp","mlpe","851.75","11.43"
"rolling","mlp","naive","644.9","8.66"
"rolling","mlp","ctree","753.64","10.11"
"rolling","mlp","mlp","716.12","9.61"
"rolling","mlp","randomForest","698.57","9.38"
"rolling","mlp","mr","608.15","8.16"
"rolling","mlp","rvm","624.9","8.39"
"rolling","mlp","ksvm","579.75","7.78"
"rolling","randomForest","lm","619.42","8.31"
"rolling","randomForest","mlpe","726.65","9.75"
"rolling","randomForest","naive","644.9","8.66"
"rolling","randomForest","ctree","768.85","10.32"
"rolling","randomForest","mlp","795.33","10.67"
"rolling","randomForest","randomForest","691.35","9.28"
"rolling","randomForest","mr","613.46","8.23"
"rolling","randomForest","rvm","609.38","8.18"
"rolling","randomForest","ksvm","590.06","7.92"
"rolling","mr","lm","695.58","9.34"
"rolling","mr","mlpe","749.19","10.05"
"rolling","mr","naive","644.9","8.66"
"rolling","mr","ctree","806.2","10.82"
"rolling","mr","mlp","897.74","12.05"
"rolling","mr","randomForest","729.28","9.79"
"rolling","mr","mr","695.58","9.34"
"rolling","mr","rvm","832.7","11.18"
"rolling","mr","ksvm","659.99","8.86"
"rolling","rvm","lm","653.12","8.77"
"rolling","rvm","mlpe","708.81","9.51"
"rolling","rvm","naive","644.9","8.66"
"rolling","rvm","ctree","758.32","10.18"
"rolling","rvm","mlp","654.06","8.78"
"rolling","rvm","randomForest","676.22","9.08"
"rolling","rvm","mr","657.85","8.83"
