"window","uni","multi","mae","nmae"
"incremental","lm","lm","546.01","7.48"
"incremental","lm","mlpe","636.26","8.71"
"incremental","lm","naive","641.54","8.78"
"incremental","lm","ctree","541.44","7.41"
"incremental","lm","mlp","781.73","10.7"
"incremental","lm","randomForest","547.59","7.5"
"incremental","lm","mr","546.01","7.48"
"incremental","lm","rvm","668.2","9.15"
"incremental","lm","ksvm","539.82","7.39"
"incremental","mlpe","lm","558.58","7.65"
"incremental","mlpe","mlpe","503.78","6.9"
"incremental","mlpe","naive","641.54","8.78"
"incremental","mlpe","ctree","658.82","9.02"
"incremental","mlpe","mlp","670.68","9.18"
"incremental","mlpe","randomForest","479.39","6.56"
"incremental","mlpe","mr","556.4","7.62"
"incremental","mlpe","rvm","560.31","7.67"
"incremental","mlpe","ksvm","499.54","6.84"
"incremental","naive","lm","722.81","9.9"
"incremental","naive","mlpe","641.54","8.78"
"incremental","naive","naive","641.54","8.78"
"incremental","naive","ctree","652.09","8.93"
"incremental","naive","mlp","641.54","8.78"
"incremental","naive","randomForest","640.18","8.76"
"incremental","naive","mr","722.81","9.9"
"incremental","naive","rvm","860.45","11.78"
"incremental","naive","ksvm","659.31","9.03"
"incremental","ctree","lm","704.53","9.65"
"incremental","ctree","mlpe","1162.17","15.91"
"incremental","ctree","naive","641.54","8.78"
"incremental","ctree","ctree","757.1","10.37"
"incremental","ctree","mlp","2795.52","38.27"
"incremental","ctree","randomForest","666.35","9.12"
"incremental","ctree","mr","704.53","9.65"
"incremental","ctree","rvm","768.26","10.52"
"incremental","ctree","ksvm","645","8.83"
"incremental","mlp","lm","753.7","10.32"
"incremental","mlp","mlpe","800.15","10.95"
"incremental","mlp","naive","641.54","8.78"
"incremental","mlp","ctree","695.81","9.53"
"incremental","mlp","mlp","708.97","9.71"
"incremental","mlp","randomForest","594.36","8.14"
"incremental","mlp","mr","535.83","7.34"
"incremental","mlp","rvm","609.29","8.34"
"incremental","mlp","ksvm","552.07","7.56"
"incremental","randomForest","lm","445.41","6.1"
"incremental","randomForest","mlpe","431.88","5.91"
"incremental","randomForest","naive","641.54","8.78"
"incremental","randomForest","ctree","467.48","6.4"
"incremental","randomForest","mlp","426.05","5.83"
"incremental","randomForest","randomForest","525.78","7.2"
"incremental","randomForest","mr","425.53","5.83"
"incremental","randomForest","rvm","459.79","6.3"
"incremental","randomForest","ksvm","437.9","6"
"incremental","mr","lm","546.01","7.48"
"incremental","mr","mlpe","612.13","8.38"
"incremental","mr","naive","641.54","8.78"
"incremental","mr","ctree","541.44","7.41"
"incremental","mr","mlp","750.54","10.28"
"incremental","mr","randomForest","554.48","7.59"
"incremental","mr","mr","546.01","7.48"
"incremental","mr","rvm","672.92","9.21"
"incremental","mr","ksvm","541.09","7.41"
"incremental","rvm","lm","818.99","11.21"
"incremental","rvm","mlpe","799.35","10.94"
"incremental","rvm","naive","641.54","8.78"
"incremental","rvm","ctree","630.74","8.64"
"incremental","rvm","mlp","773.63","10.59"
"incremental","rvm","randomForest","595.07","8.15"
"incremental","rvm","mr","848.07","11.61"
"incremental","rvm","rvm","885.68","12.13"
"incremental","rvm","ksvm","572.19","7.83"
"incremental","ksvm","lm","416.42","5.7"
"incremental","ksvm","mlpe","421.91","5.78"
"incremental","ksvm","naive","641.54","8.78"
"incremental","ksvm","ctree","418.47","5.73"
"incremental","ksvm","mlp","434.46","5.95"
"incremental","ksvm","randomForest","503.45","6.89"
"incremental","ksvm","mr","413.91","5.67"
"incremental","ksvm","rvm","526.95","7.21"
"incremental","ksvm","ksvm","429.79","5.88"
"incremental","HW","lm","430.5","5.89"
"incremental","HW","mlpe","459.37","6.29"
"incremental","HW","naive","645.54","8.84"
"incremental","HW","ctree","438.38","6"
"incremental","HW","mlp","474.51","6.5"
"incremental","HW","randomForest","458.44","6.28"
"incremental","HW","mr","430.5","5.89"
"incremental","HW","rvm","666.62","9.13"
"incremental","HW","ksvm","460.23","6.3"
"incremental","Arima","lm","528.9","7.24"
"incremental","Arima","mlpe","622.32","8.52"
"incremental","Arima","naive","640.92","8.77"
"incremental","Arima","ctree","565.18","7.74"
"incremental","Arima","mlp","968.79","13.26"
"incremental","Arima","randomForest","587.22","8.04"
"incremental","Arima","mr","528.9","7.24"
"incremental","Arima","rvm","708.64","9.7"
"incremental","Arima","ksvm","557.42","7.63"
"incremental","NN","lm","557.77","7.64"
"incremental","NN","mlpe","590.81","8.09"
"incremental","NN","naive","645.54","8.84"
"incremental","NN","ctree","528.3","7.23"
"incremental","NN","mlp","504.46","6.91"
"incremental","NN","randomForest","491.12","6.72"
"incremental","NN","mr","559.43","7.66"
"incremental","NN","rvm","598.66","8.2"
"incremental","NN","ksvm","482.87","6.61"
"incremental","ETS","lm","454.2","6.22"
"incremental","ETS","mlpe","563.32","7.71"
"incremental","ETS","naive","640.92","8.77"
"incremental","ETS","ctree","447.76","6.13"
"incremental","ETS","mlp","1424.35","19.5"
"incremental","ETS","randomForest","486.98","6.67"
"incremental","ETS","mr","454.2","6.22"
"incremental","ETS","rvm","594.18","8.13"
"incremental","ETS","ksvm","464.36","6.36"
"rolling","lm","lm","693.04","9.49"
"rolling","lm","mlpe","812.03","11.12"
"rolling","lm","naive","653.51","8.95"
"rolling","lm","ctree","781","10.69"
"rolling","lm","mlp","726.98","9.95"
"rolling","lm","randomForest","699.34","9.57"
"rolling","lm","mr","693.04","9.49"
"rolling","lm","rvm","768.79","10.53"
"rolling","lm","ksvm","663.34","9.08"
"rolling","mlpe","lm","615.94","8.43"
"rolling","mlpe","mlpe","807.09","11.05"
"rolling","mlpe","naive","653.51","8.95"
"rolling","mlpe","ctree","767.75","10.51"
"rolling","mlpe","mlp","658.86","9.02"
"rolling","mlpe","randomForest","617.45","8.45"
"rolling","mlpe","mr","609.25","8.34"
"rolling","mlpe","rvm","593.64","8.13"
"rolling","mlpe","ksvm","563.88","7.72"
"rolling","naive","lm","678","9.28"
"rolling","naive","mlpe","653.51","8.95"
"rolling","naive","naive","653.51","8.95"
"rolling","naive","ctree","789.55","10.81"
"rolling","naive","mlp","653.51","8.95"
"rolling","naive","randomForest","705.16","9.65"
"rolling","naive","mr","678","9.28"
"rolling","naive","rvm","679.55","9.3"
"rolling","naive","ksvm","665.4","9.11"
"rolling","ctree","lm","683.69","9.36"
"rolling","ctree","mlpe","743.81","10.18"
"rolling","ctree","naive","653.51","8.95"
"rolling","ctree","ctree","773.69","10.59"
"rolling","ctree","mlp","793.84","10.87"
"rolling","ctree","randomForest","729.11","9.98"
"rolling","ctree","mr","683.69","9.36"
"rolling","ctree","rvm","700.77","9.59"
"rolling","ctree","ksvm","674.21","9.23"
"rolling","mlp","lm","626.7","8.58"
"rolling","mlp","mlpe","666.77","9.13"
"rolling","mlp","naive","653.51","8.95"
"rolling","mlp","ctree","692.43","9.48"
"rolling","mlp","mlp","823.84","11.28"
"rolling","mlp","randomForest","638.84","8.75"
"rolling","mlp","mr","646.58","8.85"
"rolling","mlp","rvm","809.46","11.08"
"rolling","mlp","ksvm","592","8.11"
"rolling","randomForest","lm","589.46","8.07"
"rolling","randomForest","mlpe","682.36","9.34"
"rolling","randomForest","naive","653.51","8.95"
"rolling","randomForest","ctree","653.73","8.95"
"rolling","randomForest","mlp","603.46","8.26"
"rolling","randomForest","randomForest","627.21","8.59"
"rolling","randomForest","mr","591.08","8.09"
"rolling","randomForest","rvm","524.67","7.18"
"rolling","randomForest","ksvm","551.9","7.56"
"rolling","mr","lm","693.04","9.49"
"rolling","mr","mlpe","750.96","10.28"
"rolling","mr","naive","653.51","8.95"
"rolling","mr","ctree","781","10.69"
"rolling","mr","mlp","808.71","11.07"
"rolling","mr","randomForest","702.04","9.61"
"rolling","mr","mr","693.04","9.49"
"rolling","mr","rvm","761.61","10.43"
"rolling","mr","ksvm","664.97","9.1"
"rolling","rvm","lm","655.79","8.98"
"rolling","rvm","mlpe","705.66","9.66"
"rolling","rvm","naive","653.51","8.95"
"rolling","rvm","ctree","728.66","9.98"
"rolling","rvm","mlp","690.96","9.46"
"rolling","rvm","randomForest","628.2","8.6"
"rolling","rvm","mr","651.32","8.92"
"rolling","rvm","rvm","634.79","8.69"
"rolling","rvm","ksvm","581.63","7.96"
"rolling","ksvm","lm","545.5","7.47"
"rolling","ksvm","mlpe","638.32","8.74"
"rolling","ksvm","naive","653.51","8.95"
"rolling","ksvm","ctree","611.45","8.37"
"rolling","ksvm","mlp","680.85","9.32"
"rolling","ksvm","randomForest","627.96","8.6"
"rolling","ksvm","mr","536.46","7.34"
"rolling","ksvm","rvm","666.99","9.13"
"rolling","ksvm","ksvm","551.89","7.56"
"rolling","HW","lm","576.11","7.89"
"rolling","HW","mlpe","620.75","8.5"
"rolling","HW","naive","646.55","8.85"
"rolling","HW","ctree","729.2","9.98"
"rolling","HW","mlp","639.81","8.76"
"rolling","HW","randomForest","644.93","8.83"
"rolling","HW","mr","576.11","7.89"
"rolling","HW","rvm","641.83","8.79"
"rolling","HW","ksvm","602.92","8.25"
"rolling","Arima","lm","639.79","8.76"
"rolling","Arima","mlpe","732.51","10.03"
"rolling","Arima","naive","652.37","8.93"
"rolling","Arima","ctree","753.89","10.32"
"rolling","Arima","mlp","872.93","11.95"
"rolling","Arima","randomForest","691.06","9.46"
"rolling","Arima","mr","639.79","8.76"
"rolling","Arima","rvm","735.39","10.07"
"rolling","Arima","ksvm","573.28","7.85"
"rolling","NN","lm","612.9","8.39"
"rolling","NN","mlpe","913.36","12.5"
"rolling","NN","naive","646.55","8.85"
"rolling","NN","ctree","797.82","10.92"
"rolling","NN","mlp","572.14","7.83"
"rolling","NN","randomForest","684.75","9.38"
"rolling","NN","mr","621.84","8.51"
"rolling","NN","rvm","666.06","9.12"
"rolling","NN","ksvm","618.12","8.46"
"rolling","ETS","lm","582.42","7.97"
"rolling","ETS","mlpe","677.4","9.27"
"rolling","ETS","naive","652.37","8.93"
"rolling","ETS","ctree","600.13","8.22"
"rolling","ETS","mlp","769.28","10.53"
"rolling","ETS","randomForest","656.27","8.99"
"rolling","ETS","mr","582.42","7.97"
"rolling","ETS","rvm","684.63","9.37"
"rolling","ETS","ksvm","543.97","7.45"
