METRICA_MODELO,randomForest_simples,MR_Simples,KSVM_simples,MLPE_simples,MLPE_CasesSeries,MLPE_GW,HW_GW,Arima_GW,NN_GW,RandomForest_GW,MLPE_RW,HW_RW,Arima_RW,NN_RW,RandomForest_RW,MLPE_TSF_rminer,RF_TSF_rminer,HW_TSF_Forecast,Arima_TSF_rminer,NN_TSF_rminer,ETS_TSF_rminer,lm__TSF_rminer,mlpe__TSF_rminer,naive__TSF_rminer,ctree__TSF_rminer,mlp__TSF_rminer,randomForest__TSF_rminer,mr__TSF_rminer,rvm__TSF_rminer,Hibrido_simples_rminer,Hibrido_GW_rminer_forecast_mlpe
MAE,1014.52,1361.09,1122.23,1184.51,856.5080092,942.2689841,567.1706994,580.9973144,2023.131409,958.0034291,1013.856747,686.8250799,741.5507034,1889.362091,958.0034291,638.87,958.0034291,1541.280573,577.2246887,1011.653439,904.7867078,513.39,897.15,985.45,781.12,770.33,584.91,513.39,738.23,544.11,783.2862788
NMAE,33.79,45.34,37.38,39.46,28.53124614,6.134563699,3.692517574,3.782534599,13.17142844,6.237001492,6.600629861,4.471517447,4.827804058,12.30053445,6.237001492,21.28,31.91217286,51.34179122,19.22800429,33.69931509,30.13946395,17.1,29.88,32.83,26.02,25.66,19.48,17.1,24.59,18.12,5.099520044
