"window","model","mae","nmae"
"incremental","lm","521.75274610753","7.00245263867307"
"incremental","mlpe","531.583296282146","7.134388622764"
"incremental","naive","631.077828938116","8.4697064680998"
"incremental","ctree","705.439689845139","9.4677182907682"
"incremental","mlp","531.391552989749","7.13181523271707"
"incremental","randomForest","492.166200952381","6.60537110391063"
"incremental","mr","521.752746348492","7.00245264190702"
"incremental","rvm","810.287613175624","10.8748840850305"
"incremental","ksvm","434.33154639886","5.82917120384995"
"incremental","HW","427.77","5.74"
"incremental","Arima","495.45","6.65"
"incremental","NN","484.28","6.5"
"incremental","ETS","396.75","5.32"
"rolling","lm","765.452700567008","10.2731539466784"
"rolling","mlpe","599.324283383893","8.04354158346387"
"rolling","naive","636.905","8.54791303180781"
"rolling","ctree","757.274738173895","10.1633973718145"
"rolling","mlp","527.666056320383","7.08181527741757"
"rolling","randomForest","477.655962380952","6.4106289408261"
"rolling","mr","765.452700817038","10.2731539500341"
"rolling","rvm","544.612981373394","7.30926025195804"
"rolling","ksvm","465.224685591053","6.24378855980476"
"rolling","HW","449.96","6.04"
"rolling","Arima","497.85","6.68"
"rolling","NN","488.84","6.56"
"rolling","ETS","376.54","5.05"
