"","adult","weather","maxtemp","RH","maxwind","holiday"
"161",2256,"Sunny",20,73,50,0
"162",2317,"Sunny",21,70,0,0
"163",2121,"Sunny",20,74,47,0
"164",2154,"Sunny",22,68,0,0
"165",2175,"Sunny",24,46,42,0
"166",2997,"Sunny",24,42,35,1
"167",3055,"Sunny",26,46,29,1
"168",2193,"Sunny",22,68,37,0
"169",2104,"Sunny",21,81,0,0
"170",2360,"Rain",20,85,0,0
"171",2068,"Rain",20,83,52,0
"172",1176,"Rain",21,86,64,0
"173",2121,"Rain",19,91,55,0
"174",2437,"Rain",19,92,0,0
"175",1813,"Rain",20,99,0,0
"176",1672,"Rain",20,97,48,0
"177",1430,"Rain",20,93,40,0
"178",4504,"Rain",20,84,0,0
"179",1739,"Rain",19,86,0,0
"180",2382,"Sunny",19,79,0,0
"181",8240,"Sunny",21,68,39,0
"182",2438,"Sunny",22,57,40,0
"183",942,"Sunny",22,53,42,0
"184",1512,"Sunny",22,50,34,0
"185",1389,"Sunny",23,51,32,0
"186",1191,"Sunny",20,67,0,0
"187",2447,"Sunny",17,71,0,0
"188",2045,"Sunny",17,75,0,0
"189",1068,"Sunny",18,88,24,0
"190",1008,"Rain",20,86,0,0
"191",1012,"Sunny",19,85,40,0
"192",924,"Rain",21,86,39,0
"193",2471,"Rain",18,91,69,0
"194",1399,"Rain",18,87,0,0
"195",1468,"Rain",18,89,34,0
"196",1473,"Rain",20,85,63,0
"197",1164,"Rain",19,88,74,0
"198",1944,"Rain",19,92,0,0
"199",2405,"Rain",19,94,66,0
"200",1853,"Rain",17,89,0,0
"201",2385,"Sunny",17,89,34,0
"202",2152,"Rain",17,83,40,1
"203",1670,"Rain",14,86,29,0
"204",1224,"Sunny",14,69,0,0
"205",1059,"Sunny",14,62,34,0
"206",821,"Sunny",14,64,27,0
"207",1654,"Sunny",16,83,32,0
"208",2205,"Sunny",17,88,0,0
"209",2269,"Sunny",18,79,0,0
"210",1745,"Sunny",16,79,0,0
"211",1556,"Rain",17,87,0,0
"212",1476,"Sunny",17,76,0,0
"213",1451,"Sunny",17,80,0,0
"214",1918,"Sunny",16,94,0,0
"215",2334,"Sunny",14,76,0,0
"216",2961,"Sunny",16,82,0,0
"217",1462,"Sunny",16,75,0,0
"218",1328,"Sunny",17,72,48,0
"219",1368,"Sunny",16,73,42,0
"220",1184,"Sunny",17,55,53,0
"221",2083,"Sunny",13,56,0,0
"222",3830,"Sunny",10,63,50,0
"223",3212,"Sunny",11,69,0,0
"224",1972,"Rain",13,74,0,0
"225",1586,"Sunny",13,78,52,0
"226",1777,"Sunny",10,64,29,0
"227",1412,"Rain",9,79,0,0
"228",1875,"Rain",11,99,0,0
"229",2418,"Sunny",10,84,0,0
"230",2518,"Sunny",9,58,0,0
"231",1492,"Sunny",10,56,0,0
"232",1305,"Sunny",10,57,37,0
"233",1211,"Sunny",9,58,0,1
"234",1433,"Sunny",8,60,0,0
"235",1913,"Sunny",11,62,0,0
"236",2893,"Sunny",10,69,0,0
"237",2381,"Sunny",10,54,45,0
"238",1771,"Sunny",9,58,0,0
"239",1620,"Sunny",9,60,35,0
"240",1714,"Sunny",11,62,34,0
"241",1860,"Sunny",12,70,35,0
"242",1193,"Sunny",11,67,0,0
"243",2607,"Sunny",9,72,34,0
"244",2307,"Rain",7,83,0,1
"245",1245,"Rain",8,83,39,0
"246",1379,"Sunny",10,75,37,0
"247",1430,"Rain",12,80,0,0
"248",1834,"Sunny",13,81,32,0
"249",3329,"Rain",13,94,29,0
"250",5157,"Rain",13,83,48,0
"251",2294,"Sunny",11,83,35,0
"252",1603,"Sunny",10,87,32,0
"253",1503,"Rain",11,90,24,0
"254",1945,"Rain",10,93,0,0
"255",2025,"Rain",12,86,74,0
"256",2219,"Sunny",9,69,0,0
"257",3078,"Sunny",9,68,0,1
