"window","uni","multi","mae","nmae"
"incremental","lm","lm","755.65","12.99"
"incremental","lm","mlpe","775.36","13.33"
"incremental","lm","naive","934.39","16.06"
"incremental","lm","ctree","715.98","12.31"
"incremental","lm","mlp","728.7","12.52"
"incremental","lm","randomForest","795.24","13.67"
"incremental","lm","mr","755.65","12.99"
"incremental","lm","rvm","941.94","16.19"
"incremental","lm","ksvm","805.61","13.85"
"incremental","mlpe","lm","738.76","12.7"
"incremental","mlpe","mlpe","859.25","14.77"
"incremental","mlpe","naive","934.39","16.06"
"incremental","mlpe","ctree","825.48","14.19"
"incremental","mlpe","mlp","879.56","15.12"
"incremental","mlpe","randomForest","820.6","14.1"
"incremental","mlpe","mr","746.86","12.84"
"incremental","mlpe","rvm","1042.44","17.92"
"incremental","mlpe","ksvm","928.62","15.96"
"incremental","naive","lm","1071.82","18.42"
"incremental","naive","mlpe","934.39","16.06"
"incremental","naive","naive","934.39","16.06"
"incremental","naive","ctree","935.99","16.09"
"incremental","naive","mlp","934.39","16.06"
"incremental","naive","randomForest","919.18","15.8"
"incremental","naive","mr","1071.82","18.42"
"incremental","naive","rvm","1219.13","20.95"
"incremental","naive","ksvm","983.06","16.9"
"incremental","ctree","lm","999.01","17.17"
"incremental","ctree","mlpe","964.2","16.57"
"incremental","ctree","naive","934.39","16.06"
"incremental","ctree","ctree","993.22","17.07"
"incremental","ctree","mlp","984.8","16.93"
"incremental","ctree","randomForest","942.78","16.2"
"incremental","ctree","mr","999.01","17.17"
"incremental","ctree","rvm","1127.37","19.38"
"incremental","ctree","ksvm","939.46","16.15"
"incremental","mlp","lm","982.22","16.88"
"incremental","mlp","mlpe","1158.19","19.91"
"incremental","mlp","naive","934.39","16.06"
"incremental","mlp","ctree","815.05","14.01"
"incremental","mlp","mlp","946.27","16.26"
"incremental","mlp","randomForest","844.7","14.52"
"incremental","mlp","mr","874.17","15.03"
"incremental","mlp","rvm","1006.57","17.3"
"incremental","mlp","ksvm","891.41","15.32"
"incremental","randomForest","lm","717.17","12.33"
"incremental","randomForest","mlpe","721.77","12.41"
"incremental","randomForest","naive","934.39","16.06"
"incremental","randomForest","ctree","755.57","12.99"
"incremental","randomForest","mlp","702.02","12.07"
"incremental","randomForest","randomForest","744.99","12.8"
"incremental","randomForest","mr","715.12","12.29"
"incremental","randomForest","rvm","788.69","13.56"
"incremental","randomForest","ksvm","732.44","12.59"
"incremental","mr","lm","755.65","12.99"
"incremental","mr","mlpe","775.69","13.33"
"incremental","mr","naive","934.39","16.06"
"incremental","mr","ctree","715.98","12.31"
"incremental","mr","mlp","771.36","13.26"
"incremental","mr","randomForest","793.32","13.64"
"incremental","mr","mr","755.65","12.99"
"incremental","mr","rvm","851.28","14.63"
"incremental","mr","ksvm","803.16","13.8"
"incremental","rvm","lm","1036.4","17.81"
"incremental","rvm","mlpe","1010.79","17.37"
"incremental","rvm","naive","934.39","16.06"
"incremental","rvm","ctree","1065.95","18.32"
"incremental","rvm","mlp","1125.37","19.34"
"incremental","rvm","randomForest","892.67","15.34"
"incremental","rvm","mr","1021.79","17.56"
"incremental","rvm","rvm","1077.69","18.52"
"incremental","rvm","ksvm","839.84","14.44"
"incremental","ksvm","lm","724.64","12.46"
"incremental","ksvm","mlpe","710.41","12.21"
"incremental","ksvm","naive","934.39","16.06"
"incremental","ksvm","ctree","733.79","12.61"
"incremental","ksvm","mlp","715.12","12.29"
"incremental","ksvm","randomForest","737.75","12.68"
"incremental","ksvm","mr","712.38","12.24"
"incremental","ksvm","rvm","810.76","13.94"
"incremental","ksvm","ksvm","709.03","12.19"
"incremental","HW","lm","708.99","12.19"
"incremental","HW","mlpe","749.96","12.89"
"incremental","HW","naive","937.62","16.12"
"incremental","HW","ctree","644.82","11.08"
"incremental","HW","mlp","720.4","12.38"
"incremental","HW","randomForest","733.55","12.61"
"incremental","HW","mr","708.99","12.19"
"incremental","HW","rvm","827.03","14.21"
"incremental","HW","ksvm","788.28","13.55"
"incremental","Arima","lm","775.65","13.33"
"incremental","Arima","mlpe","808.04","13.89"
"incremental","Arima","naive","933.82","16.05"
"incremental","Arima","ctree","778.27","13.38"
"incremental","Arima","mlp","827.57","14.22"
"incremental","Arima","randomForest","838.18","14.41"
"incremental","Arima","mr","775.65","13.33"
"incremental","Arima","rvm","819.33","14.08"
"incremental","Arima","ksvm","836.09","14.37"
"incremental","NN","lm","765.94","13.16"
"incremental","NN","mlpe","778.54","13.38"
"incremental","NN","naive","937.62","16.12"
"incremental","NN","ctree","681.52","11.71"
"incremental","NN","mlp","924.48","15.89"
"incremental","NN","randomForest","762.22","13.1"
"incremental","NN","mr","742.16","12.76"
"incremental","NN","rvm","862.88","14.83"
"incremental","NN","ksvm","834.8","14.35"
"incremental","ETS","lm","733.53","12.61"
"incremental","ETS","mlpe","737.95","12.68"
"incremental","ETS","naive","933.82","16.05"
"incremental","ETS","ctree","710.66","12.21"
"incremental","ETS","mlp","734.06","12.62"
"incremental","ETS","randomForest","772.41","13.28"
"incremental","ETS","mr","733.53","12.61"
"incremental","ETS","rvm","760.6","13.07"
"incremental","ETS","ksvm","755.97","12.99"
"rolling","lm","lm","959.24","16.49"
"rolling","lm","mlpe","962.79","16.55"
"rolling","lm","naive","943.09","16.21"
"rolling","lm","ctree","990.17","17.02"
"rolling","lm","mlp","1016","17.46"
"rolling","lm","randomForest","968.72","16.65"
"rolling","lm","mr","959.24","16.49"
"rolling","lm","rvm","815.12","14.01"
"rolling","lm","ksvm","872.82","15"
"rolling","mlpe","lm","926.33","15.92"
"rolling","mlpe","mlpe","871.18","14.97"
"rolling","mlpe","naive","943.09","16.21"
"rolling","mlpe","ctree","998.8","17.17"
"rolling","mlpe","mlp","1032.67","17.75"
"rolling","mlpe","randomForest","980.31","16.85"
"rolling","mlpe","mr","913.18","15.7"
"rolling","mlpe","rvm","885.92","15.23"
"rolling","mlpe","ksvm","849.41","14.6"
"rolling","naive","lm","1068.59","18.37"
"rolling","naive","mlpe","943.09","16.21"
"rolling","naive","naive","943.09","16.21"
"rolling","naive","ctree","1272.67","21.87"
"rolling","naive","mlp","943.09","16.21"
"rolling","naive","randomForest","1058.03","18.19"
"rolling","naive","mr","1068.59","18.37"
"rolling","naive","rvm","1178.22","20.25"
"rolling","naive","ksvm","996.8","17.13"
"rolling","ctree","lm","1074.18","18.46"
"rolling","ctree","mlpe","1120.44","19.26"
"rolling","ctree","naive","943.09","16.21"
"rolling","ctree","ctree","1047.46","18"
"rolling","ctree","mlp","1200.56","20.64"
"rolling","ctree","randomForest","1013.85","17.43"
"rolling","ctree","mr","1074.18","18.46"
"rolling","ctree","rvm","974.85","16.76"
"rolling","ctree","ksvm","973.64","16.73"
"rolling","mlp","lm","919.88","15.81"
"rolling","mlp","mlpe","1052.96","18.1"
"rolling","mlp","naive","943.09","16.21"
"rolling","mlp","ctree","973.89","16.74"
"rolling","mlp","mlp","999.58","17.18"
"rolling","mlp","randomForest","975.85","16.77"
"rolling","mlp","mr","990.3","17.02"
"rolling","mlp","rvm","917.76","15.77"
"rolling","mlp","ksvm","900.19","15.47"
"rolling","randomForest","lm","880.03","15.13"
"rolling","randomForest","mlpe","905.74","15.57"
"rolling","randomForest","naive","943.09","16.21"
"rolling","randomForest","ctree","996.05","17.12"
"rolling","randomForest","mlp","958.3","16.47"
"rolling","randomForest","randomForest","973.82","16.74"
"rolling","randomForest","mr","876.22","15.06"
"rolling","randomForest","rvm","908.21","15.61"
"rolling","randomForest","ksvm","826.55","14.21"
"rolling","mr","lm","959.24","16.49"
"rolling","mr","mlpe","955.97","16.43"
"rolling","mr","naive","943.09","16.21"
"rolling","mr","ctree","990.17","17.02"
"rolling","mr","mlp","1020","17.53"
"rolling","mr","randomForest","969.99","16.67"
"rolling","mr","mr","959.24","16.49"
"rolling","mr","rvm","911.75","15.67"
"rolling","mr","ksvm","869.47","14.94"
"rolling","rvm","lm","829.76","14.26"
"rolling","rvm","mlpe","961.61","16.53"
"rolling","rvm","naive","943.09","16.21"
"rolling","rvm","ctree","969.27","16.66"
"rolling","rvm","mlp","983.25","16.9"
"rolling","rvm","randomForest","909.58","15.63"
"rolling","rvm","mr","892.93","15.35"
"rolling","rvm","rvm","1051.31","18.07"
"rolling","rvm","ksvm","813.23","13.98"
"rolling","ksvm","lm","888.12","15.27"
"rolling","ksvm","mlpe","832.86","14.32"
"rolling","ksvm","naive","943.09","16.21"
"rolling","ksvm","ctree","956.83","16.45"
"rolling","ksvm","mlp","892.25","15.34"
"rolling","ksvm","randomForest","965.9","16.6"
"rolling","ksvm","mr","885.73","15.22"
"rolling","ksvm","rvm","941.77","16.19"
"rolling","ksvm","ksvm","860.49","14.79"
"rolling","HW","lm","868.61","14.93"
"rolling","HW","mlpe","985.55","16.94"
"rolling","HW","naive","945.86","16.26"
"rolling","HW","ctree","1153.31","19.82"
"rolling","HW","mlp","952.77","16.38"
"rolling","HW","randomForest","1067.88","18.35"
"rolling","HW","mr","868.61","14.93"
"rolling","HW","rvm","878.52","15.1"
"rolling","HW","ksvm","1066.8","18.34"
"rolling","Arima","lm","957.21","16.45"
"rolling","Arima","mlpe","1044.47","17.95"
"rolling","Arima","naive","941.87","16.19"
"rolling","Arima","ctree","1105.13","18.99"
"rolling","Arima","mlp","1058.85","18.2"
"rolling","Arima","randomForest","1034.1","17.77"
"rolling","Arima","mr","957.21","16.45"
"rolling","Arima","rvm","1232.01","21.18"
"rolling","Arima","ksvm","942.32","16.2"
"rolling","NN","lm","898.3","15.44"
"rolling","NN","mlpe","1051.24","18.07"
"rolling","NN","naive","945.86","16.26"
"rolling","NN","ctree","1119.46","19.24"
"rolling","NN","mlp","1036.57","17.82"
"rolling","NN","randomForest","1036.89","17.82"
"rolling","NN","mr","898.53","15.44"
"rolling","NN","rvm","923.07","15.87"
"rolling","NN","ksvm","1136.99","19.54"
"rolling","ETS","lm","881.98","15.16"
"rolling","ETS","mlpe","894.65","15.38"
"rolling","ETS","naive","941.87","16.19"
