"window","model","mae","nmae"
"incremental","lm","615.03","7.63"
"incremental","mlpe","569.43","7.07"
"incremental","naive","563.04","6.99"
"incremental","ctree","573.31","7.12"
"incremental","mlp","589.1","7.31"
"incremental","randomForest","560.06","6.95"
"incremental","mr","615.03","7.63"
"incremental","rvm","889.81","11.05"
"incremental","ksvm","589.03","7.31"
"rolling","lm","589.03","7.31"
"rolling","mlpe","589.03","7.31"
"rolling","naive","589.03","7.31"
"rolling","ctree","589.03","7.31"
"rolling","mlp","589.03","7.31"
"rolling","randomForest","589.03","7.31"
"rolling","mr","589.03","7.31"
"rolling","rvm","589.03","7.31"
"rolling","ksvm","589.03","7.31"
