"window","model","mae","nmae"
"incremental","lm","492.92","19.86"
"incremental","mlpe","429.5","17.3"
"incremental","naive","405","16.32"
"incremental","ctree","438.12","17.65"
"incremental","mlp","445.06","17.93"
"incremental","randomForest","414.14","16.69"
"incremental","mr","492.92","19.86"
"incremental","rvm","535.84","21.59"
"incremental","ksvm","424.32","17.1"
"rolling","lm","424.32","17.1"
"rolling","mlpe","424.32","17.1"
"rolling","naive","424.32","17.1"
"rolling","ctree","424.32","17.1"
"rolling","mlp","424.32","17.1"
"rolling","randomForest","424.32","17.1"
"rolling","mr","424.32","17.1"
"rolling","rvm","424.32","17.1"
"rolling","ksvm","424.32","17.1"
