"window","model","mae","nmae"
"incremental","lm","560.86","19.33"
"incremental","mlpe","516.48","17.8"
"incremental","naive","530.98","18.3"
"incremental","ctree","495.31","17.07"
"incremental","mlp","520.44","17.94"
"incremental","randomForest","527.92","18.2"
"incremental","mr","560.86","19.33"
"incremental","rvm","712.39","24.56"
"incremental","ksvm","541.15","18.65"
"rolling","lm","541.15","18.65"
"rolling","mlpe","541.15","18.65"
"rolling","naive","541.15","18.65"
"rolling","ctree","541.15","18.65"
"rolling","mlp","541.15","18.65"
"rolling","randomForest","541.15","18.65"
"rolling","mr","541.15","18.65"
"rolling","rvm","541.15","18.65"
"rolling","ksvm","541.15","18.65"
