"window","model","mae","nmae"
"incremental","lm","1085.29","18.65"
"incremental","mlpe","931.54","16.01"
"incremental","naive","933.82","16.05"
"incremental","ctree","947.97","16.29"
"incremental","mlp","987.77","16.98"
"incremental","randomForest","967.59","16.63"
"incremental","mr","1085.29","18.65"
"incremental","rvm","1337.83","22.99"
"incremental","ksvm","979.56","16.84"
"rolling","lm","979.56","16.84"
"rolling","mlpe","979.56","16.84"
"rolling","naive","979.56","16.84"
"rolling","ctree","979.56","16.84"
"rolling","mlp","979.56","16.84"
"rolling","randomForest","979.56","16.84"
"rolling","mr","979.56","16.84"
"rolling","rvm","979.56","16.84"
"rolling","ksvm","979.56","16.84"
