"window","model","mae","nmae"
"incremental","lm","407.831677917877","12.9676209194874"
"incremental","mlpe","481.787186951345","15.3191474388345"
"incremental","naive","466.427154614601","14.8307521340096"
"incremental","ctree","523.623927906777","16.6494094723936"
"incremental","mlp","510.923579264532","16.2455828065034"
"incremental","randomForest","419.883290119048","13.3508200355818"
"incremental","mr","407.83168330613","12.967621090815"
"incremental","rvm","585.541066925907","18.6181579308715"
"incremental","ksvm","420.364103419507","13.3661082168365"
"incremental","HW","360.59","11.47"
"incremental","Arima","421.96","13.42"
"incremental","NN","431.51","13.72"
"incremental","ETS","363.24","11.55"
"rolling","lm","387.856062951821","12.3324662305825"
"rolling","mlpe","342.916617726543","10.9035490533082"
"rolling","naive","478.28626984127","15.2078305195952"
"rolling","ctree","461.301543855491","14.6677756392843"
"rolling","mlp","496.223201000224","15.7781621939658"
"rolling","randomForest","343.536647023809","10.9232638163373"
"rolling","mr","387.856060137329","12.3324661410915"
"rolling","rvm","444.59344174194","14.1365164305863"
"rolling","ksvm","340.191979244341","10.8169150793113"
"rolling","HW","381.17","12.12"
"rolling","Arima","453","14.4"
"rolling","NN","447.78","14.24"
"rolling","ETS","361.08","11.48"
