"date";"all";"female";"male";"young";"adult";"weather";"maxtemp";"RH";"maxwind"
"2013-06-15";2418.75;1307.75;1111;1031;1387.75;"Sunny";19;69;0
"2013-06-16";1738;940;798;741;997;"Rain";18;74;0
"2013-06-17";1056.25;571.25;485;450;606.25;"Rain";17;70;45
"2013-06-18";375;194;170;191;184;"Rain";17;77;55
"2013-06-19";1689;769;839;794;895;"Sunny";17;76;47
"2013-06-20";2569;1298;1166;1149;1420;"Sunny";17;66;53
"2013-06-21";2722;1238;1346;1190;1532;"Sunny";18;74;53
"2013-06-22";3290;1587;1585;1409;1881;"Sunny";22;59;48
"2013-06-23";3494;1701;1650;1460;2034;"Sunny";21;55;53
"2013-06-24";2822;1400;1314;1191;1631;"Sunny";27;33;35
"2013-06-25";3620;1727;1693;1565;2055;"Sunny";28;24;35
"2013-06-26";3512;1785;1590;1624;1888;"Sunny";26;38;47
"2013-06-27";2643;1141;1370;1142;1501;"Sunny";17;30;0
"2013-06-28";4783;2270;2254;2124;2659;"Sunny";26;38;37
"2013-06-29";5136;2367;2469;2251;2885;"Sunny";27;38;52
"2013-06-30";4911;2291;2368;2168;2743;"Sunny";29;32;52
"2013-07-01";4054;1872;1953;1798;2256;"Sunny";21;55;55
"2013-07-02";3963;1773;1987;1703;2260;"Sunny";19;73;53
"2013-07-03";3709;1768;1740;1719;1990;"Sunny";23;64;0
"2013-07-04";3847;1623;2012;1624;2223;"Sunny";29;47;40
"2013-07-05";4448;2023;2194;2006;2442;"Sunny";29;43;47
"2013-07-06";5963;2789;2867;2687;3276;"Sunny";32;37;40
"2013-07-07";4818;2143;2404;2075;2743;"Sunny";30;38;34
"2013-07-08";4028;1780;2026;1707;2321;"Sunny";30;34;24
"2013-07-09";4381;1894;2256;1901;2480;"Sunny";30;27;0
"2013-07-10";3926;1810;1877;1707;2219;"Sunny";27;39;0
"2013-07-11";4063;1946;1907;1849;2214;"Sunny";21;83;0
"2013-07-12";5069;2308;2482;2218;2851;"Sunny";18;88;0
"2013-07-13";5762;2662;2792;2595;3167;"Sunny";20;86;26
"2013-07-14";4816;2191;2391;2119;2697;"Sunny";19;86;0
"2013-07-15";3576;1552;1837;1563;2013;"Sunny";21;77;39
"2013-07-16";3743;1684;1852;1630;2113;"Sunny";22;74;32
"2013-07-17";3679;1718;1758;1658;2021;"Sunny";23;77;32
"2013-07-18";3767;1769;1813;1725;2042;"Sunny";23;80;35
"2013-07-19";3718;1725;1814;1687;2031;"Sunny";22;73;39
"2013-07-20";4426;2087;2113;2057;2369;"Sunny";21;71;0
"2013-07-21";4602;2134;2200;2122;2480;"Sunny";21;68;0
"2013-07-22";3841;1741;1881;1684;2157;"Sunny";22;69;50
"2013-07-23";3815;1713;1881;1678;2137;"Sunny";22;64;40
"2013-07-24";4031;1825;1994;1739;2292;"Sunny";23;69;32
"2013-07-25";4914;2157;2484;2152;2762;"Sunny";21;73;0
"2013-07-26";4436;2031;2173;2019;2417;"Sunny";20;70;0
"2013-07-27";4898;2182;2476;2211;2687;"Sunny";20;69;0
"2013-07-28";5284;2445;2574;2331;2953;"Rain";21;74;0
"2013-07-29";4027;1846;1945;1801;2226;"Rain";21;72;27
"2013-07-30";4207;1946;2049;1882;2325;"Sunny";26;54;40
"2013-07-31";4172;1883;2088;1893;2279;"Sunny";26;56;42
"2013-08-01";4382;2023;2120;1962;2420;"Sunny";23;66;0
"2013-08-02";5723;2660;2724;2582;3141;"Sunny";22;67;0
"2013-08-03";7961;3693;3761;3496;4465;"Sunny";21;68;42
"2013-08-04";9371;4314;4448;4131;5240;"Sunny";22;66;0
"2013-08-05";4581;2095;2255;2021;2560;"Sunny";22;71;0
"2013-08-06";4337;1979;2132;1914;2423;"Sunny";22;71;0
"2013-08-07";4267;2026;2010;1928;2339;"Sunny";21;70;0
"2013-08-08";3801;1747;1854;1715;2086;"Sunny";22;61;0
"2013-08-09";3973;1860;1891;1770;2203;"Sunny";28;39;39
"2013-08-10";4292;2100;1963;1943;2349;"Sunny";30;33;39
"2013-08-11";3889;1798;1877;1795;2094;"Sunny";29;40;35
"2013-08-12";4269;1987;2057;1914;2355;"Sunny";23;73;0
"2013-08-13";4047;1888;1961;1852;2195;"Sunny";24;71;37
"2013-08-14";4330;2023;2066;1945;2385;"Sunny";26;66;34
"2013-08-15";9163;4189;4455;4005;5158;"Sunny";26;70;32
"2013-08-16";3895;1758;1909;1827;2068;"Sunny";22;69;45
"2013-08-17";3955;1867;1878;1809;2146;"Sunny";23;71;52
"2013-08-18";4345;1971;2132;1942;2403;"Sunny";23;69;0
"2013-08-19";4171;1943;2008;1859;2312;"Sunny";27;52;0
"2013-08-20";3612;1631;1782;1694;1918;"Sunny";28;31;29
"2013-08-21";3530;1651;1709;1681;1849;"Sunny";26;54;29
"2013-08-22";3604;1754;1670;1693;1911;"Sunny";24;66;0
"2013-08-23";3834;1743;1881;1764;2070;"Sunny";22;68;52
"2013-08-24";4429;2168;2030;2139;2290;"Sunny";22;72;50
"2013-08-25";3829;1781;1844;1737;2092;"Sunny";24;59;37
"2013-08-26";3964;1862;1894;1792;2172;"Sunny";22;65;34
"2013-08-27";8300;3842;3850;3503;4797;"Sunny";23;66;34
"2013-08-28";4981;2339;2354;2201;2780;"Sunny";23;55;35
"2013-08-29";3810;1750;1826;1807;2003;"Sunny";23;53;47
"2013-08-30";3918;1869;1848;1806;2112;"Sunny";24;48;40
"2013-08-31";4408;1996;2128;2002;2406;"Sunny";26;33;34
"2013-09-01";4394;2078;2089;2066;2328;"Sunny";26;34;0
"2013-09-02";3932;1833;1889;1745;2187;"Sunny";26;40;42
"2013-09-03";4039;1863;1977;1805;2234;"Sunny";27;37;37
"2013-09-04";3696;1645;1860;1612;2084;"Sunny";24;45;0
"2013-09-05";3754;1668;1882;1644;2110;"Sunny";23;63;37
"2013-09-06";3791;1735;1860;1713;2078;"Sunny";22;72;0
"2013-09-07";5224;2459;2493;2395;2829;"Sunny";20;70;0
"2013-09-08";5325;2540;2518;2392;2933;"Sunny";19;61;0
"2013-09-09";3822;1811;1805;1759;2063;"Sunny";21;54;0
"2013-09-10";3667;1760;1705;1738;1929;"Sunny";22;73;29
"2013-09-11";4114;2004;1869;1833;2281;"Sunny";24;57;35
"2013-09-12";3605;1803;1600;1632;1973;"Sunny";26;37;37
"2013-09-13";4085;1895;1975;1845;2240;"Sunny";26;33;0
"2013-09-14";5673;2710;2640;2676;2997;"Sunny";24;49;50
"2013-09-15";4394;2376;2018;1873;2521;"Sunny";22;73;0
"2013-09-16";3932;2126;1806;1676;2256;"Sunny";20;73;50
"2013-09-17";4039;2184;1855;1722;2317;"Sunny";21;70;0
"2013-09-18";3696;1999;1697;1575;2121;"Sunny";20;74;47
"2013-09-19";3754;2030;1724;1600;2154;"Sunny";22;68;0
"2013-09-20";3791;2050;1741;1616;2175;"Sunny";24;46;42
"2013-09-21";5224;2825;2399;2227;2997;"Sunny";24;42;35
"2013-09-22";5325;2880;2445;2270;3055;"Sunny";26;46;29
"2013-09-23";3822;2067;1755;1629;2193;"Sunny";22;68;37
"2013-09-24";3667;1983;1684;1563;2104;"Sunny";21;81;0
"2013-09-25";4114;2225;1889;1754;2360;"Rain";20;85;0
"2013-09-26";3605;1949;1656;1537;2068;"Rain";20;83;52
"2013-09-27";2135;1016;1009;959;1176;"Rain";21;86;64
"2013-09-28";3954;1948;1786;1833;2121;"Rain";19;91;55
"2013-09-29";4712;2101;2333;2275;2437;"Rain";19;92;0
"2013-09-30";3232;1403;1675;1419;1813;"Rain";20;99;0
"2013-10-01";2905;1258;1503;1233;1672;"Rain";20;97;48
"2013-10-02";2668;1197;1340;1238;1430;"Rain";20;93;40
"2013-10-03";8270;3715;4142;3766;4504;"Rain";20;84;0
"2013-10-04";3047;1354;1534;1308;1739;"Rain";19;86;0
"2013-10-05";4439;2110;2110;2057;2382;"Sunny";19;79;0
"2013-10-06";15735;7645;7045;7495;8240;"Sunny";21;68;39
"2013-10-07";4205;1857;2081;1767;2438;"Sunny";22;57;40
"2013-10-08";1638;655;896;696;942;"Sunny";22;53;42
"2013-10-09";2564;1257;1178;1052;1512;"Sunny";22;50;34
"2013-10-10";2371;1139;1125;982;1389;"Sunny";23;51;32
"2013-10-11";2207;989;1107;1016;1191;"Sunny";20;67;0
"2013-10-12";4647;2172;2215;2200;2447;"Sunny";17;71;0
"2013-10-13";3866;1804;1859;1821;2045;"Sunny";17;75;0
"2013-10-14";1877;754;1030;809;1068;"Sunny";18;88;24
"2013-10-15";1754;680;975;746;1008;"Rain";20;86;0
"2013-10-16";1793;744;955;781;1012;"Sunny";19;85;40
"2013-10-17";1617;676;872;693;924;"Rain";21;86;39
"2013-10-18";4410;1922;2280;1939;2471;"Rain";18;91;69
"2013-10-19";2607;1070;1400;1208;1399;"Rain";18;87;0
"2013-10-20";2640;1072;1475;1172;1468;"Rain";18;89;34
"2013-10-21";2289;756;1414;816;1473;"Rain";20;85;63
"2013-10-22";1933;755;1107;769;1164;"Rain";19;88;74
"2013-10-23";2866;1041;1728;922;1944;"Rain";19;92;0
"2013-10-24";3630;1256;2216;1225;2405;"Rain";19;94;66
"2013-10-25";2975;1087;1773;1122;1853;"Rain";17;89;0
"2013-10-26";4327;1777;2319;1942;2385;"Sunny";17;89;34
"2013-10-27";3673;1504;2000;1521;2152;"Rain";17;83;40
"2013-10-28";2734;1086;1533;1064;1670;"Rain";14;86;29
"2013-10-29";2185;861;1218;961;1224;"Sunny";14;69;0
