,date,all,female,male,young,adult,weather,maxtemp,RH,maxwind,holiday
77,2013-06-24,2822.0,1400.0,1314,1191,1631.0,Sunny,27,33,35,1
78,2013-06-25,3620.0,1727.0,1693,1565,2055.0,Sunny,28,24,35,0
79,2013-06-26,3512.0,1785.0,1590,1624,1888.0,Sunny,26,38,47,0
80,2013-06-27,2643.0,1141.0,1370,1142,1501.0,Sunny,17,30,0,0
81,2013-06-28,4783.0,2270.0,2254,2124,2659.0,Sunny,26,38,37,0
82,2013-06-29,5136.0,2367.0,2469,2251,2885.0,Sunny,27,38,52,1
83,2013-06-30,4911.0,2291.0,2368,2168,2743.0,Sunny,29,32,52,0
84,2013-07-01,4054.0,1872.0,1953,1798,2256.0,Sunny,21,55,55,0
85,2013-07-02,3963.0,1773.0,1987,1703,2260.0,Sunny,19,73,53,0
86,2013-07-03,3709.0,1768.0,1740,1719,1990.0,Sunny,23,64,0,0
87,2013-07-04,3847.0,1623.0,2012,1624,2223.0,Sunny,29,47,40,1
88,2013-07-05,4448.0,2023.0,2194,2006,2442.0,Sunny,29,43,47,0
89,2013-07-06,5963.0,2789.0,2867,2687,3276.0,Sunny,32,37,40,0
90,2013-07-07,4818.0,2143.0,2404,2075,2743.0,Sunny,30,38,34,0
91,2013-07-08,4028.0,1780.0,2026,1707,2321.0,Sunny,30,34,24,0
92,2013-07-09,4381.0,1894.0,2256,1901,2480.0,Sunny,30,27,0,0
93,2013-07-10,3926.0,1810.0,1877,1707,2219.0,Sunny,27,39,0,0
94,2013-07-11,4063.0,1946.0,1907,1849,2214.0,Sunny,21,83,0,0
95,2013-07-12,5069.0,2308.0,2482,2218,2851.0,Sunny,18,88,0,0
96,2013-07-13,5762.0,2662.0,2792,2595,3167.0,Sunny,20,86,26,0
97,2013-07-14,4816.0,2191.0,2391,2119,2697.0,Sunny,19,86,0,0
98,2013-07-15,3576.0,1552.0,1837,1563,2013.0,Sunny,21,77,39,0
99,2013-07-16,3743.0,1684.0,1852,1630,2113.0,Sunny,22,74,32,0
100,2013-07-17,3679.0,1718.0,1758,1658,2021.0,Sunny,23,77,32,0
