"window","uni","multi","mae","nmae"
"rolling","mlpe","mlpe","680.27","9.89"
"rolling","mlpe","naive","534.4","7.77"
"rolling","mlpe","ctree","694.55","10.1"
"rolling","mlpe","mlp","531.48","7.73"
"rolling","mlpe","randomForest","537.54","7.82"
"rolling","mlpe","mr","494.42","7.19"
"rolling","mlpe","rvm","492.14","7.16"
"rolling","mlpe","ksvm","527.44","7.67"
"rolling","naive","lm","562.28","8.18"
"rolling","naive","mlpe","538.6","7.83"
"rolling","naive","naive","534.4","7.77"
"rolling","naive","ctree","664.94","9.67"
"rolling","naive","mlp","534.4","7.77"
"rolling","naive","randomForest","574.99","8.36"
"rolling","naive","mr","562.28","8.18"
"rolling","naive","rvm","577.37","8.4"
"rolling","naive","ksvm","538.24","7.83"
"rolling","ctree","lm","573.23","8.34"
"rolling","ctree","mlpe","676.99","9.85"
"rolling","ctree","naive","534.4","7.77"
"rolling","ctree","ctree","708.85","10.31"
"rolling","ctree","mlp","795.03","11.56"
"rolling","ctree","randomForest","615.57","8.95"
"rolling","ctree","mr","573.23","8.34"
"rolling","ctree","rvm","596.47","8.68"
"rolling","ctree","ksvm","575.98","8.38"
"rolling","mlp","lm","524.14","7.62"
"rolling","mlp","mlpe","766.1","11.14"
"rolling","mlp","naive","534.4","7.77"
"rolling","mlp","ctree","630.74","9.17"
"rolling","mlp","mlp","771.18","11.22"
"rolling","mlp","randomForest","568.48","8.27"
"rolling","mlp","mr","544.66","7.92"
"rolling","mlp","rvm","669.48","9.74"
"rolling","mlp","ksvm","565.49","8.23"
"rolling","randomForest","lm","524.59","7.63"
"rolling","randomForest","mlpe","605.84","8.81"
"rolling","randomForest","naive","534.4","7.77"
"rolling","randomForest","ctree","575.87","8.38"
"rolling","randomForest","mlp","609","8.86"
"rolling","randomForest","randomForest","531.67","7.73"
"rolling","randomForest","mr","524.29","7.63"
"rolling","randomForest","rvm","582.13","8.47"
"rolling","randomForest","ksvm","488.44","7.1"
"rolling","mr","lm","594.89","8.65"
"rolling","mr","mlpe","634.81","9.23"
"rolling","mr","naive","534.4","7.77"
"rolling","mr","ctree","694.65","10.1"
"rolling","mr","mlp","744.15","10.82"
"rolling","mr","randomForest","616.31","8.96"
"rolling","mr","mr","594.89","8.65"
"rolling","mr","rvm","693.85","10.09"
"rolling","mr","ksvm","565.61","8.23"
"rolling","rvm","lm","574.11","8.35"
"rolling","rvm","mlpe","650.37","9.46"
"rolling","rvm","naive","534.4","7.77"
"rolling","rvm","ctree","638.15","9.28"
"rolling","rvm","mlp","720.29","10.48"
"rolling","rvm","randomForest","569.83","8.29"
"rolling","rvm","mr","575.38","8.37"
"rolling","rvm","rvm","729.29","10.61"
"rolling","rvm","ksvm","526.6","7.66"
"rolling","ksvm","lm","477.5","6.95"
"rolling","ksvm","mlpe","495.43","7.21"
"rolling","ksvm","naive","534.4","7.77"
"rolling","ksvm","ctree","522.79","7.6"
"rolling","ksvm","mlp","831.48","12.09"
"rolling","ksvm","randomForest","539.43","7.85"
"rolling","ksvm","mr","476.77","6.93"
"rolling","ksvm","rvm","492.01","7.16"
"rolling","ksvm","ksvm","480.79","6.99"
"rolling","HW","lm","499.25","7.26"
"rolling","HW","mlpe","550.23","8"
"rolling","HW","naive","532.22","7.74"
"rolling","HW","ctree","698.36","10.16"
"rolling","HW","mlp","597.89","8.7"
"rolling","HW","randomForest","590.53","8.59"
"rolling","HW","mr","499.25","7.26"
