"window","uni","multi","mae","nmae"
"incremental","lm","lm","531.93","6.6"
"incremental","lm","mlpe","618.58","7.68"
"incremental","lm","naive","565.37","7.02"
"incremental","lm","ctree","517.81","6.43"
"incremental","lm","mlp","599.74","7.44"
"incremental","lm","randomForest","548.55","6.81"
"incremental","lm","mr","531.93","6.6"
"incremental","lm","rvm","605.94","7.52"
"incremental","lm","ksvm","499.55","6.2"
"incremental","mlpe","lm","673.38","8.36"
"incremental","mlpe","mlpe","624.05","7.75"
"incremental","mlpe","naive","565.37","7.02"
"incremental","mlpe","ctree","761.18","9.45"
"incremental","mlpe","mlp","693.52","8.61"
"incremental","mlpe","randomForest","553.51","6.87"
"incremental","mlpe","mr","647.28","8.03"
"incremental","mlpe","rvm","694.22","8.62"
"incremental","mlpe","ksvm","570.81","7.09"
"incremental","naive","lm","599.41","7.44"
"incremental","naive","mlpe","565.37","7.02"
"incremental","naive","naive","565.37","7.02"
"incremental","naive","ctree","579.02","7.19"
"incremental","naive","mlp","565.37","7.02"
"incremental","naive","randomForest","563.44","6.99"
"incremental","naive","mr","599.41","7.44"
"incremental","naive","rvm","773.53","9.6"
"incremental","naive","ksvm","580.87","7.21"
"incremental","ctree","lm","750.4","9.31"
"incremental","ctree","mlpe","876.42","10.88"
"incremental","ctree","naive","565.37","7.02"
"incremental","ctree","ctree","779.02","9.67"
"incremental","ctree","mlp","811.04","10.07"
"incremental","ctree","randomForest","665.98","8.27"
"incremental","ctree","mr","750.4","9.31"
"incremental","ctree","rvm","840.84","10.44"
"incremental","ctree","ksvm","613.13","7.61"
"incremental","mlp","lm","692.68","8.6"
"incremental","mlp","mlpe","771.39","9.58"
"incremental","mlp","naive","565.37","7.02"
"incremental","mlp","ctree","777.39","9.65"
"incremental","mlp","mlp","798.83","9.92"
"incremental","mlp","randomForest","496.17","6.16"
"incremental","mlp","mr","956.14","11.87"
"incremental","mlp","rvm","534.34","6.63"
"incremental","mlp","ksvm","491.31","6.1"
"incremental","randomForest","lm","637.39","7.91"
"incremental","randomForest","mlpe","576.69","7.16"
"incremental","randomForest","naive","565.37","7.02"
"incremental","randomForest","ctree","567.66","7.05"
"incremental","randomForest","mlp","612.04","7.6"
"incremental","randomForest","randomForest","532.07","6.6"
"incremental","randomForest","mr","668.72","8.3"
"incremental","randomForest","rvm","552.28","6.86"
"incremental","randomForest","ksvm","535.16","6.64"
"incremental","mr","lm","531.93","6.6"
"incremental","mr","mlpe","582.4","7.23"
"incremental","mr","naive","565.37","7.02"
"incremental","mr","ctree","517.81","6.43"
"incremental","mr","mlp","679.65","8.44"
"incremental","mr","randomForest","544.37","6.76"
"incremental","mr","mr","531.93","6.6"
"incremental","mr","rvm","583.53","7.24"
"incremental","mr","ksvm","497.57","6.18"
"incremental","rvm","lm","916.4","11.38"
"incremental","rvm","mlpe","814.52","10.11"
"incremental","rvm","naive","565.37","7.02"
"incremental","rvm","ctree","693.01","8.6"
"incremental","rvm","mlp","758.96","9.42"
"incremental","rvm","randomForest","579.2","7.19"
"incremental","rvm","mr","791.79","9.83"
"incremental","rvm","rvm","961.14","11.93"
"incremental","rvm","ksvm","605.24","7.51"
"incremental","ksvm","lm","513.03","6.37"
"incremental","ksvm","mlpe","587.46","7.29"
"incremental","ksvm","naive","565.37","7.02"
"incremental","ksvm","ctree","493.62","6.13"
"incremental","ksvm","mlp","526.53","6.54"
"incremental","ksvm","randomForest","495.17","6.15"
"incremental","ksvm","mr","530.12","6.58"
"incremental","ksvm","rvm","559.85","6.95"
"incremental","ksvm","ksvm","443.77","5.51"
"incremental","HW","lm","418.96","5.2"
"incremental","HW","mlpe","463.11","5.75"
"incremental","HW","naive","564.47","7.01"
"incremental","HW","ctree","449.62","5.58"
"incremental","HW","mlp","728.58","9.04"
"incremental","HW","randomForest","432.94","5.37"
"incremental","HW","mr","418.96","5.2"
"incremental","HW","rvm","612.94","7.61"
"incremental","HW","ksvm","460.29","5.71"
"incremental","Arima","lm","515.37","6.4"
"incremental","Arima","mlpe","597.04","7.41"
"incremental","Arima","naive","563.04","6.99"
"incremental","Arima","ctree","622.17","7.72"
"incremental","Arima","mlp","834.95","10.36"
"incremental","Arima","randomForest","595.78","7.4"
"incremental","Arima","mr","515.37","6.4"
"incremental","Arima","rvm","591.29","7.34"
"incremental","Arima","ksvm","567.12","7.04"
"incremental","NN","lm","515.19","6.4"
"incremental","NN","mlpe","588.74","7.31"
"incremental","NN","naive","564.47","7.01"
"incremental","NN","ctree","659.62","8.19"
"incremental","NN","mlp","1481.27","18.39"
"incremental","NN","randomForest","564.73","7.01"
"incremental","NN","mr","542.06","6.73"
"incremental","NN","rvm","667.24","8.28"
"incremental","NN","ksvm","511.74","6.35"
"incremental","ETS","lm","478.44","5.94"
"incremental","ETS","mlpe","575.22","7.14"
"incremental","ETS","naive","563.04","6.99"
"incremental","ETS","ctree","547.28","6.79"
"incremental","ETS","mlp","855.44","10.62"
"incremental","ETS","randomForest","519.69","6.45"
"incremental","ETS","mr","478.44","5.94"
"incremental","ETS","rvm","723.28","8.98"
"incremental","ETS","ksvm","505.15","6.27"
"rolling","lm","lm","645.75","8.02"
"rolling","lm","mlpe","731.84","9.08"
"rolling","lm","naive","578.51","7.18"
"rolling","lm","ctree","785.35","9.75"
"rolling","lm","mlp","775.41","9.63"
"rolling","lm","randomForest","708.76","8.8"
"rolling","lm","mr","645.75","8.02"
"rolling","lm","rvm","768.53","9.54"
"rolling","lm","ksvm","628.37","7.8"
"rolling","mlpe","lm","577.18","7.16"
"rolling","mlpe","mlpe","628.52","7.8"
"rolling","mlpe","naive","578.51","7.18"
"rolling","mlpe","ctree","763.57","9.48"
"rolling","mlpe","mlp","2020.72","25.08"
"rolling","mlpe","randomForest","633.91","7.87"
"rolling","mlpe","mr","614.07","7.62"
"rolling","mlpe","rvm","779.64","9.68"
"rolling","mlpe","ksvm","534.88","6.64"
"rolling","naive","lm","613.83","7.62"
"rolling","naive","mlpe","578.51","7.18"
"rolling","naive","naive","578.51","7.18"
"rolling","naive","ctree","763.46","9.48"
"rolling","naive","mlp","578.51","7.18"
"rolling","naive","randomForest","647.99","8.04"
"rolling","naive","mr","613.83","7.62"
"rolling","naive","rvm","637.91","7.92"
"rolling","naive","ksvm","592.21","7.35"
"rolling","ctree","lm","666.39","8.27"
"rolling","ctree","mlpe","857.8","10.65"
"rolling","ctree","naive","578.51","7.18"
"rolling","ctree","ctree","793.67","9.85"
"rolling","ctree","mlp","903.09","11.21"
"rolling","ctree","randomForest","732.78","9.1"
"rolling","ctree","mr","666.39","8.27"
"rolling","ctree","rvm","774.82","9.62"
"rolling","ctree","ksvm","658.42","8.17"
"rolling","mlp","lm","738.88","9.17"
"rolling","mlp","mlpe","792.44","9.84"
"rolling","mlp","naive","578.51","7.18"
"rolling","mlp","ctree","779.31","9.67"
"rolling","mlp","mlp","720.63","8.95"
"rolling","mlp","randomForest","640.63","7.95"
"rolling","mlp","mr","620.12","7.7"
"rolling","mlp","rvm","655.2","8.13"
"rolling","mlp","ksvm","571.67","7.1"
"rolling","randomForest","lm","582.8","7.23"
"rolling","randomForest","mlpe","788.3","9.79"
"rolling","randomForest","naive","578.51","7.18"
"rolling","randomForest","ctree","724.2","8.99"
"rolling","randomForest","mlp","727.37","9.03"
"rolling","randomForest","randomForest","628.88","7.81"
"rolling","randomForest","mr","578.42","7.18"
"rolling","randomForest","rvm","582.97","7.24"
"rolling","randomForest","ksvm","543.54","6.75"
"rolling","mr","lm","645.75","8.02"
"rolling","mr","mlpe","697.26","8.66"
"rolling","mr","naive","578.51","7.18"
"rolling","mr","ctree","785.35","9.75"
"rolling","mr","mlp","772.84","9.59"
"rolling","mr","randomForest","707.58","8.78"
"rolling","mr","mr","645.75","8.02"
"rolling","mr","rvm","798.15","9.91"
"rolling","mr","ksvm","614.05","7.62"
"rolling","rvm","lm","615.01","7.63"
"rolling","rvm","mlpe","732.91","9.1"
"rolling","rvm","naive","578.51","7.18"
"rolling","rvm","ctree","719.54","8.93"
"rolling","rvm","mlp","897.12","11.14"
"rolling","rvm","randomForest","639.45","7.94"
"rolling","rvm","mr","614.34","7.63"
"rolling","rvm","rvm","797.12","9.89"
"rolling","rvm","ksvm","536.74","6.66"
"rolling","ksvm","lm","511.97","6.36"
"rolling","ksvm","mlpe","612.6","7.6"
"rolling","ksvm","naive","578.51","7.18"
"rolling","ksvm","ctree","688.45","8.55"
"rolling","ksvm","mlp","640.12","7.95"
"rolling","ksvm","randomForest","625.23","7.76"
"rolling","ksvm","mr","511.22","6.35"
"rolling","ksvm","rvm","568","7.05"
"rolling","ksvm","ksvm","519.36","6.45"
"rolling","HW","lm","545.86","6.78"
"rolling","HW","mlpe","650.28","8.07"
"rolling","HW","naive","567.96","7.05"
"rolling","HW","ctree","773.28","9.6"
"rolling","HW","mlp","733.67","9.11"
"rolling","HW","randomForest","711.9","8.84"
"rolling","HW","mr","545.86","6.78"
"rolling","HW","rvm","641.41","7.96"
"rolling","HW","ksvm","596.66","7.41"
"rolling","Arima","lm","642.27","7.97"
"rolling","Arima","mlpe","680.88","8.45"
"rolling","Arima","naive","575.21","7.14"
"rolling","Arima","ctree","716.28","8.89"
"rolling","Arima","mlp","739.4","9.18"
"rolling","Arima","randomForest","692.37","8.59"
"rolling","Arima","mr","642.27","7.97"
"rolling","Arima","rvm","604.18","7.5"
"rolling","Arima","ksvm","558.96","6.94"
"rolling","NN","lm","564.57","7.01"
"rolling","NN","mlpe","623.34","7.74"
"rolling","NN","naive","567.96","7.05"
"rolling","NN","ctree","810.72","10.06"
"rolling","NN","mlp","636.75","7.9"
"rolling","NN","randomForest","724.71","9"
"rolling","NN","mr","575.77","7.15"
"rolling","NN","rvm","649.45","8.06"
"rolling","NN","ksvm","593.56","7.37"
"rolling","ETS","lm","572.22","7.1"
"rolling","ETS","mlpe","622.16","7.72"
"rolling","ETS","naive","575.21","7.14"
"rolling","ETS","ctree","683.62","8.49"
"rolling","ETS","mlp","1224.79","15.2"
"rolling","ETS","randomForest","632.22","7.85"
"rolling","ETS","mr","572.22","7.1"
"rolling","ETS","rvm","537.1","6.67"
"rolling","ETS","ksvm","500.31","6.21"
