"METRICA_MODELO","randomForest_simples","MR_Simples","KSVM_simples","MLPE_simples","MLPE_CasesSeries","MLPE_GW","HW_GW","Arima_GW","NN_GW","RandomForest_GW","MLPE_RW","HW_RW","Arima_RW","NN_RW","RandomForest_RW","MLPE_TSF_rminer","RF_TSF_rminer","HW_TSF_forecast","Arima_TSF_forecast","NN_TSF_forecast","ETS_TSF_forecast","lm_TSF_rminer","mlpe_TSF_rminer","naive_TSF_rminer","ctree_TSF_rminer","mlp_TSF_rminer","randomForest_TSF_rminer","mr_TSF_rminer","rvm_TSF_rminer","Hibrido_simples_rminer_mlpe","Hibrido_GW_rminer_forecast_mlpe"
"MAE",1080.96,1568.75,1149.16,950.6,803.673640767022,835.670095141613,479.44822349422,749.380636796258,699.464875000485,657.137246285236,718.732253645,527.033845795945,648.426011858244,950.897086260973,657.137246285236,610.52,1012.44553030748,1186.77418671139,1018.12908517957,1760.03772937216,1249.27077465035,379.2,675.61,1073.91,550.99,510.38,499.86,379.2,638.62,635.62,710.992422687786
"NMAE",36.01,52.26,38.28,31.67,26.7712738430054,14.3635286205159,8.24077386549021,12.8803822068797,12.0224282399533,11.2948993861333,12.3535966594191,9.05867730828369,11.1451703653875,16.3440544218111,11.2948993861333,20.34,33.7257005432205,39.5327843674679,33.9150261552156,58.6288384201254,41.6146160776267,12.63,22.51,35.77,18.35,17,16.65,12.63,21.27,21.17,12.2205641575762
