"window","model","mae","nmae"
"rolling","lm","434.514720371863","14.9781013571824"
"rolling","mlpe","441.602729360423","15.2224312085634"
"rolling","naive","531.456666666667","18.3197747903022"
"rolling","ctree","632.269674742012","21.7948870990007"
"rolling","mlp","459.377700335675","15.8351499598647"
"rolling","randomForest","379.912336190476","13.0959095549975"
"rolling","mr","434.514721405777","14.9781013928224"
"rolling","rvm","355.612224914052","12.2582635268546"
"rolling","ksvm","386.29475358409","13.3159170487449"
"rolling","HW","313.68","10.81"
"rolling","Arima","340.82","11.75"
"rolling","NN","431.32","14.87"
"rolling","ETS","309.42","10.67"
"incremental","lm","385.095912120546","13.2745919379713"
"incremental","mlpe","441.847379585025","15.230864515168"
"incremental","naive","531.030130708436","18.3050717238344"
"incremental","ctree","482.746560636691","16.6406949547291"
"incremental","mlp","448.956883442405","15.4759353134231"
"incremental","randomForest","413.699067738095","14.2605676572939"
"incremental","mr","385.095915009348","13.2745920375508"
"incremental","rvm","483.633608888141","16.671272281563"
"incremental","ksvm","386.041236152795","13.3071780817923"
"incremental","HW","323.01","11.13"
"incremental","Arima","373.39","12.87"
"incremental","NN","420.48","14.49"
"incremental","ETS","320.56","11.05"
