"window","model","mae","nmae"
"incremental","lm","334.119047021813","12.0143490478897"
"incremental","mlpe","348.208699753392","12.520988844063"
"incremental","naive","467.909172616037","16.8252129671355"
"incremental","ctree","437.780541991269","15.7418389784707"
"incremental","mlp","391.08546950573","14.0627640958551"
"incremental","randomForest","365.784395238095","13.1529807708772"
"incremental","mr","334.119044996594","12.0143489750663"
"incremental","rvm","454.778993147857","16.3530741872656"
"incremental","ksvm","339.281228572127","12.1999722607741"
"incremental","HW","335.43","12.06"
"incremental","Arima","343.09","12.34"
"incremental","NN","345.43","12.42"
"incremental","ETS","342.53","12.32"
"rolling","lm","377.55552215888","13.5762503473168"
"rolling","mlpe","398.873861883919","14.3428213550492"
"rolling","naive","459.139365079365","16.5098656986467"
"rolling","ctree","412.530972138454","14.833907664094"
"rolling","mlp","417.91445348884","15.027488439009"
"rolling","randomForest","375.927035714286","13.5176927621102"
"rolling","mr","377.555547405473","13.5762512551411"
"rolling","rvm","454.584635812554","16.346085430153"
"rolling","ksvm","402.717904301691","14.4810465408734"
"rolling","HW","339.88","12.22"
"rolling","Arima","350.41","12.6"
"rolling","NN","329.08","11.83"
"rolling","ETS","336.19","12.09"
