"window","model","mae","nmae"
"rolling","lm","315.137864379891","12.6969324891173"
"rolling","mlpe","320.933859457896","12.9304536445566"
"rolling","naive","402.381666666667","16.2119930163846"
"rolling","ctree","354.787567245909","14.2944225320672"
"rolling","mlp","378.932497420641","15.2672239089702"
"rolling","randomForest","341.173660952381","13.7459170407889"
"rolling","mr","315.137863803901","12.6969324659106"
"rolling","rvm","375.01799101168","15.1095080987784"
"rolling","ksvm","319.09657401301","12.8564292511285"
"rolling","HW","353.55","14.24"
"rolling","Arima","403.55","16.26"
"rolling","NN","336.04","13.54"
"rolling","ETS","332.46","13.39"
"incremental","lm","342.719463508174","13.808197562779"
"incremental","mlpe","358.184893155713","14.4313010941061"
"incremental","naive","405.228606321224","16.3266964674143"
"incremental","ctree","362.175585997511","14.5920864624299"
"incremental","mlp","435.706341798448","17.5546471312831"
"incremental","randomForest","345.042594285714","13.9017967077242"
"incremental","mr","342.719465336789","13.808197636454"
"incremental","rvm","514.31828081593","20.7219291223179"
"incremental","ksvm","348.921673031235","14.0580851342157"
"incremental","HW","346.43","13.96"
"incremental","Arima","366.7","14.77"
"incremental","NN","376.81","15.18"
"incremental","ETS","336.93","13.57"
