"","all","weather","maxtemp","RH","maxwind","holiday"
"160",4394,"Sunny",22,73,0,1
"161",3932,"Sunny",20,73,50,0
"162",4039,"Sunny",21,70,0,0
"163",3696,"Sunny",20,74,47,0
"164",3754,"Sunny",22,68,0,0
"165",3791,"Sunny",24,46,42,0
"166",5224,"Sunny",24,42,35,1
"167",5325,"Sunny",26,46,29,1
"168",3822,"Sunny",22,68,37,0
"169",3667,"Sunny",21,81,0,0
"170",4114,"Rain",20,85,0,0
"171",3605,"Rain",20,83,52,0
"172",2135,"Rain",21,86,64,0
"173",3954,"Rain",19,91,55,0
"174",4712,"Rain",19,92,0,0
"175",3232,"Rain",20,99,0,0
"176",2905,"Rain",20,97,48,0
"177",2668,"Rain",20,93,40,0
"178",8270,"Rain",20,84,0,0
"179",3047,"Rain",19,86,0,0
"180",4439,"Sunny",19,79,0,0
"181",15735,"Sunny",21,68,39,0
"182",4205,"Sunny",22,57,40,0
"183",1638,"Sunny",22,53,42,0
"184",2564,"Sunny",22,50,34,0
"185",2371,"Sunny",23,51,32,0
"186",2207,"Sunny",20,67,0,0
"187",4647,"Sunny",17,71,0,0
"188",3866,"Sunny",17,75,0,0
"189",1877,"Sunny",18,88,24,0
"190",1754,"Rain",20,86,0,0
"191",1793,"Sunny",19,85,40,0
"192",1617,"Rain",21,86,39,0
"193",4410,"Rain",18,91,69,0
"194",2607,"Rain",18,87,0,0
"195",2640,"Rain",18,89,34,0
"196",2289,"Rain",20,85,63,0
"197",1933,"Rain",19,88,74,0
"198",2866,"Rain",19,92,0,0
"199",3630,"Rain",19,94,66,0
"200",2975,"Rain",17,89,0,0
"201",4327,"Sunny",17,89,34,0
"202",3673,"Rain",17,83,40,1
"203",2734,"Rain",14,86,29,0
"204",2185,"Sunny",14,69,0,0
"205",1933,"Sunny",14,62,34,0
"206",1389,"Sunny",14,64,27,0
"207",2796,"Sunny",16,83,32,0
"208",4180,"Sunny",17,88,0,0
"209",4148,"Sunny",18,79,0,0
"210",2748,"Sunny",16,79,0,0
"211",2522,"Rain",17,87,0,0
"212",2424,"Sunny",17,76,0,0
"213",2450,"Sunny",17,80,0,0
"214",3407,"Sunny",16,94,0,0
"215",4314,"Sunny",14,76,0,0
"216",5187,"Sunny",16,82,0,0
"217",2411,"Sunny",16,75,0,0
"218",2173,"Sunny",17,72,48,0
"219",2315,"Sunny",16,73,42,0
"220",2066,"Sunny",17,55,53,0
"221",3691,"Sunny",13,56,0,0
"222",7719,"Sunny",10,63,50,0
"223",6165,"Sunny",11,69,0,0
"224",3469,"Rain",13,74,0,0
"225",2847,"Sunny",13,78,52,0
"226",3295,"Sunny",10,64,29,0
"227",2638,"Rain",9,79,0,0
"228",3459,"Rain",11,99,0,0
"229",4860,"Sunny",10,84,0,0
"230",5179,"Sunny",9,58,0,0
"231",2642,"Sunny",10,56,0,0
"232",2551,"Sunny",10,57,37,0
"233",2347,"Sunny",9,58,0,1
"234",2863,"Sunny",8,60,0,0
"235",3875,"Sunny",11,62,0,0
"236",6107,"Sunny",10,69,0,0
"237",4857,"Sunny",10,54,45,0
"238",3365,"Sunny",9,58,0,0
"239",2938,"Sunny",9,60,35,0
"240",3119,"Sunny",11,62,34,0
"241",3436,"Sunny",12,70,35,0
"242",2343,"Sunny",11,67,0,0
"243",5579,"Sunny",9,72,34,0
"244",4796,"Rain",7,83,0,1
"245",2620,"Rain",8,83,39,0
"246",2663,"Sunny",10,75,37,0
"247",2817,"Rain",12,80,0,0
"248",3767,"Sunny",13,81,32,0
"249",6804,"Rain",13,94,29,0
"250",11110,"Rain",13,83,48,0
"251",4974,"Sunny",11,83,35,0
"252",3228,"Sunny",10,87,32,0
"253",3191,"Rain",11,90,24,0
"254",4153,"Rain",10,93,0,0
"255",4307,"Rain",12,86,74,0
"256",4660,"Sunny",9,69,0,0
"257",6193,"Sunny",9,68,0,1
