"window","uni","multi","mae","nmae"
"incremental","lm","lm","356.75","12.83"
"incremental","lm","mlpe","371.34","13.35"
"incremental","lm","naive","467.91","16.83"
"incremental","lm","ctree","360.93","12.98"
"incremental","lm","mlp","350.67","12.61"
"incremental","lm","randomForest","385.69","13.87"
"incremental","lm","mr","356.75","12.83"
"incremental","lm","rvm","402.73","14.48"
"incremental","lm","ksvm","360.91","12.98"
"incremental","mlpe","lm","372.47","13.39"
"incremental","mlpe","mlpe","325.76","11.71"
"incremental","mlpe","naive","467.91","16.83"
"incremental","mlpe","ctree","390.63","14.05"
"incremental","mlpe","mlp","341.61","12.28"
"incremental","mlpe","randomForest","387.77","13.94"
"incremental","mlpe","mr","415.93","14.96"
"incremental","mlpe","rvm","325.15","11.69"
"incremental","mlpe","ksvm","349.73","12.58"
"incremental","naive","lm","550.94","19.81"
"incremental","naive","mlpe","467.91","16.83"
"incremental","naive","naive","467.91","16.83"
"incremental","naive","ctree","477.45","17.17"
"incremental","naive","mlp","467.91","16.83"
"incremental","naive","randomForest","464.97","16.72"
"incremental","naive","mr","550.94","19.81"
"incremental","naive","rvm","621.14","22.34"
"incremental","naive","ksvm","491.08","17.66"
"incremental","ctree","lm","448.43","16.12"
"incremental","ctree","mlpe","451.89","16.25"
"incremental","ctree","naive","467.91","16.83"
"incremental","ctree","ctree","443.9","15.96"
"incremental","ctree","mlp","456.57","16.42"
"incremental","ctree","randomForest","440.38","15.84"
"incremental","ctree","mr","448.43","16.12"
"incremental","ctree","rvm","470.93","16.93"
"incremental","ctree","ksvm","436.64","15.7"
"incremental","mlp","lm","456.66","16.42"
"incremental","mlp","mlpe","539.74","19.41"
"incremental","mlp","naive","467.91","16.83"
"incremental","mlp","ctree","420.89","15.13"
"incremental","mlp","mlp","401.62","14.44"
"incremental","mlp","randomForest","410.16","14.75"
"incremental","mlp","mr","463.06","16.65"
"incremental","mlp","rvm","522.04","18.77"
"incremental","mlp","ksvm","424.21","15.25"
"incremental","randomForest","lm","363.41","13.07"
