"window","uni","multi","mae","nmae"
"incremental","lm","lm","417.3","13.27"
"incremental","lm","mlpe","427.06","13.58"
"incremental","lm","naive","466.43","14.83"
"incremental","lm","ctree","454.77","14.46"
"incremental","lm","mlp","456.97","14.53"
"incremental","lm","randomForest","428.35","13.62"
"incremental","lm","mr","417.3","13.27"
"incremental","lm","rvm","431.46","13.72"
"incremental","lm","ksvm","421.31","13.4"
"incremental","mlpe","lm","496.4","15.78"
"incremental","mlpe","mlpe","447.53","14.23"
"incremental","mlpe","naive","466.43","14.83"
"incremental","mlpe","ctree","489.8","15.57"
"incremental","mlpe","mlp","411.93","13.1"
"incremental","mlpe","randomForest","496.29","15.78"
"incremental","mlpe","mr","452.9","14.4"
"incremental","mlpe","rvm","529.11","16.82"
"incremental","mlpe","ksvm","443.32","14.1"
"incremental","naive","lm","531.31","16.89"
"incremental","naive","mlpe","467.57","14.87"
"incremental","naive","naive","466.43","14.83"
"incremental","naive","ctree","480.89","15.29"
"incremental","naive","mlp","466.43","14.83"
"incremental","naive","randomForest","463.31","14.73"
"incremental","naive","mr","531.31","16.89"
"incremental","naive","rvm","650.91","20.7"
"incremental","naive","ksvm","499.24","15.87"
"incremental","ctree","lm","525.9","16.72"
"incremental","ctree","mlpe","535.53","17.03"
"incremental","ctree","naive","466.43","14.83"
"incremental","ctree","ctree","522.53","16.61"
"incremental","ctree","mlp","516.08","16.41"
"incremental","ctree","randomForest","490.77","15.6"
"incremental","ctree","mr","525.9","16.72"
"incremental","ctree","rvm","552.07","17.55"
"incremental","ctree","ksvm","509.47","16.2"
"incremental","mlp","lm","592.99","18.86"
"incremental","mlp","mlpe","558.89","17.77"
"incremental","mlp","naive","466.43","14.83"
"incremental","mlp","ctree","544.05","17.3"
"incremental","mlp","mlp","488.46","15.53"
"incremental","mlp","randomForest","441.12","14.03"
"incremental","mlp","mr","494","15.71"
"incremental","mlp","rvm","466.94","14.85"
"incremental","mlp","ksvm","455.98","14.5"
"incremental","randomForest","lm","461.44","14.67"
"incremental","randomForest","mlpe","455.4","14.48"
"incremental","randomForest","naive","466.43","14.83"
"incremental","randomForest","ctree","483.23","15.36"
"incremental","randomForest","mlp","460.87","14.65"
"incremental","randomForest","randomForest","434.75","13.82"
"incremental","randomForest","mr","451.12","14.34"
"incremental","randomForest","rvm","494.53","15.72"
"incremental","randomForest","ksvm","424.67","13.5"
"incremental","mr","lm","417.3","13.27"
"incremental","mr","mlpe","434.84","13.83"
"incremental","mr","naive","466.43","14.83"
"incremental","mr","ctree","454.77","14.46"
"incremental","mr","mlp","409.86","13.03"
"incremental","mr","randomForest","429.14","13.65"
"incremental","mr","mr","417.3","13.27"
"incremental","mr","rvm","534.44","16.99"
"incremental","mr","ksvm","415.67","13.22"
"incremental","rvm","lm","571.96","18.19"
"incremental","rvm","mlpe","536.82","17.07"
"incremental","rvm","naive","466.43","14.83"
"incremental","rvm","ctree","564.86","17.96"
"incremental","rvm","mlp","562.27","17.88"
"incremental","rvm","randomForest","458.87","14.59"
"incremental","rvm","mr","584.75","18.59"
"incremental","rvm","rvm","615.62","19.57"
"incremental","rvm","ksvm","461.03","14.66"
"incremental","ksvm","lm","436.43","13.88"
"incremental","ksvm","mlpe","445.18","14.16"
"incremental","ksvm","naive","466.43","14.83"
"incremental","ksvm","ctree","425.74","13.54"
"incremental","ksvm","mlp","470.33","14.95"
"incremental","ksvm","randomForest","417.16","13.26"
"incremental","ksvm","mr","439.97","13.99"
"incremental","ksvm","rvm","454.44","14.45"
"incremental","ksvm","ksvm","418.57","13.31"
"incremental","HW","lm","370.66","11.79"
"incremental","HW","mlpe","373.56","11.88"
"incremental","HW","naive","466.97","14.85"
"incremental","HW","ctree","383.66","12.2"
"incremental","HW","mlp","370.45","11.78"
"incremental","HW","randomForest","388.96","12.37"
"incremental","HW","mr","370.66","11.79"
"incremental","HW","rvm","563.2","17.91"
"incremental","HW","ksvm","396.68","12.61"
"incremental","Arima","lm","423.84","13.48"
"incremental","Arima","mlpe","431.66","13.73"
"incremental","Arima","naive","465.81","14.81"
"incremental","Arima","ctree","436.25","13.87"
"incremental","Arima","mlp","438.93","13.96"
"incremental","Arima","randomForest","446.1","14.18"
"incremental","Arima","mr","423.84","13.48"
"incremental","Arima","rvm","536.15","17.05"
"incremental","Arima","ksvm","490.29","15.59"
"incremental","NN","lm","395.66","12.58"
"incremental","NN","mlpe","491.82","15.64"
"incremental","NN","naive","466.97","14.85"
"incremental","NN","ctree","407.27","12.95"
"incremental","NN","mlp","466.17","14.82"
"incremental","NN","randomForest","417.46","13.27"
"incremental","NN","mr","426.26","13.55"
"incremental","NN","rvm","505.94","16.09"
"incremental","NN","ksvm","438.58","13.95"
"incremental","ETS","lm","367.71","11.69"
"incremental","ETS","mlpe","363.06","11.54"
"incremental","ETS","naive","465.81","14.81"
"incremental","ETS","ctree","389.46","12.38"
"incremental","ETS","mlp","399.65","12.71"
"incremental","ETS","randomForest","406.65","12.93"
"incremental","ETS","mr","367.71","11.69"
"incremental","ETS","rvm","423.09","13.45"
"incremental","ETS","ksvm","392.8","12.49"
"rolling","lm","lm","516.52","16.42"
"rolling","lm","mlpe","562.42","17.88"
"rolling","lm","naive","471.92","15.01"
"rolling","lm","ctree","605.14","19.24"
"rolling","lm","mlp","569.99","18.12"
"rolling","lm","randomForest","535.35","17.02"
"rolling","lm","mr","516.52","16.42"
"rolling","lm","rvm","502.01","15.96"
"rolling","lm","ksvm","469.84","14.94"
"rolling","mlpe","lm","507.87","16.15"
"rolling","mlpe","mlpe","543.17","17.27"
"rolling","mlpe","naive","471.92","15.01"
"rolling","mlpe","ctree","559","17.77"
"rolling","mlpe","mlp","665.47","21.16"
"rolling","mlpe","randomForest","521.68","16.59"
"rolling","mlpe","mr","529.64","16.84"
"rolling","mlpe","rvm","501.75","15.95"
"rolling","mlpe","ksvm","464.1","14.76"
"rolling","naive","lm","544.27","17.31"
"rolling","naive","mlpe","471.92","15.01"
"rolling","naive","naive","471.92","15.01"
"rolling","naive","ctree","658.54","20.94"
"rolling","naive","mlp","471.92","15.01"
"rolling","naive","randomForest","541.17","17.21"
"rolling","naive","mr","544.27","17.31"
"rolling","naive","rvm","551.76","17.54"
"rolling","naive","ksvm","516.25","16.42"
"rolling","ctree","lm","547.77","17.42"
"rolling","ctree","mlpe","566.34","18.01"
"rolling","ctree","naive","471.92","15.01"
"rolling","ctree","ctree","569.67","18.11"
"rolling","ctree","mlp","601.02","19.11"
"rolling","ctree","randomForest","528.81","16.81"
"rolling","ctree","mr","547.77","17.42"
"rolling","ctree","rvm","495.17","15.74"
"rolling","ctree","ksvm","491.63","15.63"
"rolling","mlp","lm","525.15","16.7"
"rolling","mlp","mlpe","662.57","21.07"
"rolling","mlp","naive","471.92","15.01"
"rolling","mlp","ctree","542.17","17.24"
"rolling","mlp","mlp","548.74","17.45"
"rolling","mlp","randomForest","505.9","16.09"
"rolling","mlp","mr","480.15","15.27"
"rolling","mlp","rvm","525.6","16.71"
"rolling","mlp","ksvm","480.66","15.28"
"rolling","randomForest","lm","474.8","15.1"
"rolling","randomForest","mlpe","543.53","17.28"
"rolling","randomForest","naive","471.92","15.01"
"rolling","randomForest","ctree","500.89","15.93"
"rolling","randomForest","mlp","627.67","19.96"
"rolling","randomForest","randomForest","506.61","16.11"
"rolling","randomForest","mr","474.7","15.09"
"rolling","randomForest","rvm","499.97","15.9"
"rolling","randomForest","ksvm","442.72","14.08"
"rolling","mr","lm","516.52","16.42"
"rolling","mr","mlpe","580.85","18.47"
"rolling","mr","naive","471.92","15.01"
"rolling","mr","ctree","605.14","19.24"
"rolling","mr","mlp","624.42","19.85"
"rolling","mr","randomForest","536.37","17.05"
"rolling","mr","mr","516.52","16.42"
"rolling","mr","rvm","479.06","15.23"
"rolling","mr","ksvm","472.83","15.03"
"rolling","rvm","lm","476.2","15.14"
"rolling","rvm","mlpe","511.31","16.26"
"rolling","rvm","naive","471.92","15.01"
"rolling","rvm","ctree","515.95","16.41"
