"window","uni","multi","mae","nmae"
"rolling","lm","lm","405.2","16.33"
"rolling","lm","mlpe","397.37","16.01"
"rolling","lm","naive","405.25","16.33"
"rolling","lm","ctree","468.48","18.88"
"rolling","lm","mlp","427.37","17.22"
"rolling","lm","randomForest","411.47","16.58"
"rolling","lm","mr","405.2","16.33"
"rolling","lm","rvm","400.25","16.13"
"rolling","lm","ksvm","383.28","15.44"
"rolling","mlpe","lm","413.47","16.66"
"rolling","mlpe","mlpe","399.45","16.09"
"rolling","mlpe","naive","405.25","16.33"
"rolling","mlpe","ctree","459.72","18.52"
"rolling","mlpe","mlp","426.25","17.17"
"rolling","mlpe","randomForest","411.38","16.57"
"rolling","mlpe","mr","391.8","15.79"
"rolling","mlpe","rvm","369.59","14.89"
"rolling","mlpe","ksvm","377.16","15.2"
"rolling","naive","lm","450.63","18.16"
"rolling","naive","mlpe","405.25","16.33"
"rolling","naive","naive","405.25","16.33"
"rolling","naive","ctree","552.26","22.25"
"rolling","naive","mlp","405.25","16.33"
"rolling","naive","randomForest","445.46","17.95"
"rolling","naive","mr","450.63","18.16"
"rolling","naive","rvm","426.71","17.19"
"rolling","naive","ksvm","414.33","16.69"
"rolling","ctree","lm","408.95","16.48"
"rolling","ctree","mlpe","403.29","16.25"
"rolling","ctree","naive","405.25","16.33"
"rolling","ctree","ctree","457.95","18.45"
"rolling","ctree","mlp","484.44","19.52"
"rolling","ctree","randomForest","417.23","16.81"
"rolling","ctree","mr","408.95","16.48"
"rolling","ctree","rvm","381.25","15.36"
"rolling","ctree","ksvm","395.97","15.95"
"rolling","mlp","lm","388.32","15.65"
"rolling","mlp","mlpe","393.44","15.85"
"rolling","mlp","naive","405.25","16.33"
"rolling","mlp","ctree","466.28","18.79"
"rolling","mlp","mlp","425.41","17.14"
"rolling","mlp","randomForest","425.35","17.14"
"rolling","mlp","mr","393.01","15.83"
"rolling","mlp","rvm","452.84","18.24"
"rolling","mlp","ksvm","396.4","15.97"
"rolling","randomForest","lm","377.22","15.2"
"rolling","randomForest","mlpe","423.68","17.07"
"rolling","randomForest","naive","405.25","16.33"
"rolling","randomForest","ctree","484.44","19.52"
"rolling","randomForest","mlp","431.65","17.39"
"rolling","randomForest","randomForest","411.11","16.56"
"rolling","randomForest","mr","377.05","15.19"
"rolling","randomForest","rvm","373.04","15.03"
"rolling","randomForest","ksvm","374","15.07"
"rolling","mr","lm","405.2","16.33"
"rolling","mr","mlpe","413.96","16.68"
"rolling","mr","naive","405.25","16.33"
"rolling","mr","ctree","468.48","18.88"
"rolling","mr","mlp","447.16","18.02"
"rolling","mr","randomForest","410.99","16.56"
"rolling","mr","mr","405.2","16.33"
"rolling","mr","rvm","395.95","15.95"
"rolling","mr","ksvm","391.8","15.79"
"rolling","rvm","lm","412.44","16.62"
"rolling","rvm","mlpe","412.2","16.61"
"rolling","rvm","naive","405.25","16.33"
"rolling","rvm","ctree","493.5","19.88"
"rolling","rvm","mlp","408.31","16.45"
"rolling","rvm","randomForest","404.96","16.32"
"rolling","rvm","mr","426.33","17.18"
"rolling","rvm","rvm","483.95","19.5"
"rolling","rvm","ksvm","391.39","15.77"
"rolling","ksvm","lm","387.92","15.63"
"rolling","ksvm","mlpe","413.73","16.67"
"rolling","ksvm","naive","405.25","16.33"
"rolling","ksvm","ctree","444.19","17.9"
"rolling","ksvm","mlp","382.01","15.39"
"rolling","ksvm","randomForest","396.64","15.98"
"rolling","ksvm","mr","384.77","15.5"
"rolling","ksvm","rvm","368.07","14.83"
"rolling","ksvm","ksvm","369.42","14.88"
"rolling","HW","lm","386.36","15.57"
"rolling","HW","mlpe","417.92","16.84"
"rolling","HW","naive","405.46","16.34"
"rolling","HW","ctree","485.08","19.54"
"rolling","HW","mlp","459.71","18.52"
"rolling","HW","randomForest","446.5","17.99"
"rolling","HW","mr","386.36","15.57"
"rolling","HW","rvm","394.87","15.91"
"rolling","HW","ksvm","464.14","18.7"
"rolling","Arima","lm","442.59","17.83"
"rolling","Arima","mlpe","465.1","18.74"
"rolling","Arima","naive","405.03","16.32"
"rolling","Arima","ctree","508.81","20.5"
"rolling","Arima","mlp","515.2","20.76"
"rolling","Arima","randomForest","477.09","19.22"
"rolling","Arima","mr","442.59","17.83"
"rolling","Arima","rvm","444.23","17.9"
"rolling","Arima","ksvm","435.77","17.56"
"rolling","NN","lm","382.44","15.41"
"rolling","NN","mlpe","404.24","16.29"
"rolling","NN","naive","405.46","16.34"
"rolling","NN","ctree","477.69","19.25"
"rolling","NN","mlp","466.4","18.79"
"rolling","NN","randomForest","446.44","17.99"
"rolling","NN","mr","389.41","15.69"
"rolling","NN","rvm","434.66","17.51"
"rolling","NN","ksvm","474.16","19.1"
"rolling","ETS","lm","408.43","16.46"
"rolling","ETS","mlpe","441.55","17.79"
"rolling","ETS","naive","405.03","16.32"
"rolling","ETS","ctree","470.69","18.96"
"rolling","ETS","mlp","420.3","16.93"
"rolling","ETS","randomForest","439.36","17.7"
"rolling","ETS","mr","408.43","16.46"
"rolling","ETS","rvm","396.89","15.99"
"rolling","ETS","ksvm","402.16","16.2"
"incremental","lm","lm","346.97","13.98"
"incremental","lm","mlpe","353.27","14.23"
"incremental","lm","naive","405.23","16.33"
"incremental","lm","ctree","351.08","14.14"
"incremental","lm","mlp","368.87","14.86"
"incremental","lm","randomForest","376.34","15.16"
"incremental","lm","mr","346.96","13.98"
"incremental","lm","rvm","403.05","16.24"
"incremental","lm","ksvm","371.23","14.96"
"incremental","mlpe","lm","351.92","14.18"
"incremental","mlpe","mlpe","413.82","16.67"
"incremental","mlpe","naive","405.23","16.33"
"incremental","mlpe","ctree","353.51","14.24"
"incremental","mlpe","mlp","381.54","15.37"
"incremental","mlpe","randomForest","380.53","15.33"
