"window","model","mae","nmae"
"incremental","lm","523.39","16.64"
"incremental","mlpe","477.18","15.17"
"incremental","naive","465.81","14.81"
"incremental","ctree","482.49","15.34"
"incremental","mlp","499.22","15.87"
"incremental","randomForest","483.53","15.37"
"incremental","mr","523.39","16.64"
"incremental","rvm","646.64","20.56"
"incremental","ksvm","497.45","15.82"
"rolling","lm","497.45","15.82"
"rolling","mlpe","497.45","15.82"
"rolling","naive","497.45","15.82"
"rolling","ctree","497.45","15.82"
"rolling","mlp","497.45","15.82"
"rolling","randomForest","497.45","15.82"
"rolling","mr","497.45","15.82"
"rolling","rvm","497.45","15.82"
"rolling","ksvm","497.45","15.82"
