"window","model","mae","nmae"
"incremental","lm","1314.45","8.56"
"incremental","mlpe","1188.58","7.74"
"incremental","naive","1180.67","7.69"
"incremental","ctree","1172.8","7.64"
"incremental","mlp","1315.71","8.57"
"incremental","randomForest","1182.37","7.7"
"incremental","mr","1314.45","8.56"
"incremental","rvm","1736.78","11.31"
"incremental","ksvm","1227.07","7.99"
"rolling","lm","1227.07","7.99"
"rolling","mlpe","1227.07","7.99"
"rolling","naive","1227.07","7.99"
"rolling","ctree","1227.07","7.99"
"rolling","mlp","1227.07","7.99"
"rolling","randomForest","1227.07","7.99"
"rolling","mr","1227.07","7.99"
"rolling","rvm","1227.07","7.99"
"rolling","ksvm","1227.07","7.99"
