"window","model","mae","nmae"
"incremental","lm","718.27","9.83"
"incremental","mlpe","650.15","8.9"
"incremental","naive","640.92","8.77"
"incremental","ctree","626.11","8.57"
"incremental","mlp","703.25","9.63"
"incremental","randomForest","643.69","8.81"
"incremental","mr","718.27","9.83"
"incremental","rvm","834.9","11.43"
"incremental","ksvm","675.61","9.25"
"rolling","lm","675.61","9.25"
"rolling","mlpe","675.61","9.25"
"rolling","naive","675.61","9.25"
"rolling","ctree","675.61","9.25"
"rolling","mlp","675.61","9.25"
"rolling","randomForest","675.61","9.25"
"rolling","mr","675.61","9.25"
"rolling","rvm","675.61","9.25"
"rolling","ksvm","675.61","9.25"
