"window","model","mae","nmae"
"incremental","lm","608.71","8.85"
"incremental","mlpe","678.36","9.87"
"incremental","naive","532.41","7.74"
"incremental","ctree","560.74","8.16"
"incremental","mlp","594.45","8.65"
"incremental","randomForest","538.33","7.83"
"incremental","mr","608.71","8.85"
"incremental","rvm","774.49","11.27"
"incremental","ksvm","547.99","7.97"
"rolling","lm","547.99","7.97"
"rolling","mlpe","547.99","7.97"
"rolling","naive","547.99","7.97"
"rolling","ctree","547.99","7.97"
"rolling","mlp","547.99","7.97"
"rolling","randomForest","547.99","7.97"
"rolling","mr","547.99","7.97"
"rolling","rvm","547.99","7.97"
"rolling","ksvm","547.99","7.97"
