"window","model","mae","nmae"
"incremental","lm","653.62","8.77"
"incremental","mlpe","604.94","8.12"
"incremental","naive","630.2","8.46"
"incremental","ctree","578.98","7.77"
"incremental","mlp","630.98","8.47"
"incremental","randomForest","614","8.24"
"incremental","mr","653.62","8.77"
"incremental","rvm","827.55","11.11"
"incremental","ksvm","625.39","8.39"
"rolling","lm","625.39","8.39"
"rolling","mlpe","625.39","8.39"
"rolling","naive","625.39","8.39"
"rolling","ctree","625.39","8.39"
"rolling","mlp","625.39","8.39"
"rolling","randomForest","625.39","8.39"
"rolling","mr","625.39","8.39"
"rolling","rvm","625.39","8.39"
"rolling","ksvm","625.39","8.39"
